지역명,연도,월,평당분양가격,전용면적
강원,2015,11,7236.9,60㎡~85㎡
강원,2015,11,6801.299999999999,85㎡~102㎡
강원,2015,11,7164.299999999999,102㎡~
충북,2015,11,6613.2,모든면적
충북,2015,11,6339.299999999999,60㎡
충북,2015,11,6649.5,60㎡~85㎡
충북,2015,11,6164.4,85㎡~102㎡
충북,2015,11,7514.099999999999,102㎡~
충남,2015,11,6930.0,모든면적
충남,2015,11,7306.2,60㎡
충남,2015,11,6946.5,60㎡~85㎡
충남,2015,11,8325.9,85㎡~102㎡
충남,2015,11,8144.4,102㎡~
전북,2015,11,6788.099999999999,모든면적
전북,2015,11,7025.7,60㎡
전북,2015,11,6788.099999999999,60㎡~85㎡
전북,2015,11,7844.099999999999,85㎡~102㎡
전북,2015,11,7530.599999999999,102㎡~
전남,2015,11,6299.7,모든면적
전남,2015,11,6596.7,60㎡
전남,2015,11,6289.799999999999,60㎡~85㎡
전남,2015,11,7464.599999999999,85㎡~102㎡
전남,2015,11,7180.799999999999,102㎡~
경북,2015,11,7227.0,모든면적
경북,2015,11,7293.0,60㎡
경북,2015,11,7213.799999999999,60㎡~85㎡
경북,2015,11,8302.8,85㎡~102㎡
경북,2015,11,7821.0,102㎡~
경남,2015,11,7583.4,모든면적
경남,2015,11,7260.0,60㎡
경남,2015,11,7662.599999999999,60㎡~85㎡
경남,2015,11,9834.0,85㎡~102㎡
경남,2015,11,10041.9,102㎡~
제주,2015,11,7365.599999999999,모든면적
제주,2015,11,,60㎡
제주,2015,11,7342.5,60㎡~85㎡
제주,2015,11,8523.9,85㎡~102㎡
제주,2015,11,8494.199999999999,102㎡~
서울,2015,12,19935.3,모든면적
서울,2015,12,20859.3,60㎡
서울,2015,12,19687.8,60㎡~85㎡
서울,2015,12,21492.899999999998,85㎡~102㎡
서울,2015,12,21618.3,102㎡~
인천,2015,12,10507.199999999999,모든면적
인천,2015,12,10982.4,60㎡
인천,2015,12,10292.699999999999,60㎡~85㎡
인천,2015,12,11698.5,85㎡~102㎡
인천,2015,12,11246.4,102㎡~
경기,2015,12,10553.4,모든면적
경기,2015,12,10866.9,60㎡
경기,2015,12,10936.199999999999,60㎡~85㎡
경기,2015,12,11381.699999999999,85㎡~102㎡
경기,2015,12,12705.0,102㎡~
부산,2015,12,10319.099999999999,모든면적
부산,2015,12,9738.3,60㎡
부산,2015,12,10005.6,60㎡~85㎡
부산,2015,12,9758.1,85㎡~102㎡
부산,2015,12,12338.699999999999,102㎡~
대구,2015,12,9774.6,모든면적
대구,2015,12,10830.599999999999,60㎡
대구,2015,12,9804.3,60㎡~85㎡
대구,2015,12,8355.6,85㎡~102㎡
대구,2015,12,9051.9,102㎡~
광주,2015,12,8170.799999999999,모든면적
광주,2015,12,7903.5,60㎡
광주,2015,12,8213.699999999999,60㎡~85㎡
광주,2015,12,,85㎡~102㎡
광주,2015,12,,102㎡~
대전,2015,12,8098.2,모든면적
대전,2015,12,8530.5,60㎡
대전,2015,12,8012.4,60㎡~85㎡
대전,2015,12,8121.299999999999,85㎡~102㎡
대전,2015,12,,102㎡~
울산,2015,12,10041.9,모든면적
울산,2015,12,8527.199999999999,60㎡
울산,2015,12,10058.4,60㎡~85㎡
울산,2015,12,8787.9,85㎡~102㎡
울산,2015,12,9484.199999999999,102㎡~
세종,2015,12,8794.5,모든면적
세종,2015,12,8583.3,60㎡
세종,2015,12,8830.8,60㎡~85㎡
세종,2015,12,8781.3,85㎡~102㎡
세종,2015,12,9081.6,102㎡~
강원,2015,12,7164.299999999999,모든면적
강원,2015,12,7563.599999999999,60㎡
강원,2015,12,7236.9,60㎡~85㎡
강원,2015,12,6801.299999999999,85㎡~102㎡
강원,2015,12,7164.299999999999,102㎡~
충북,2015,12,6616.5,모든면적
충북,2015,12,6405.299999999999,60㎡
충북,2015,12,6656.099999999999,60㎡~85㎡
충북,2015,12,7510.799999999999,85㎡~102㎡
충북,2015,12,7461.299999999999,102㎡~
충남,2015,12,7487.7,모든면적
충남,2015,12,8045.4,60㎡
충남,2015,12,7520.7,60㎡~85㎡
충남,2015,12,8325.9,85㎡~102㎡
충남,2015,12,8065.2,102㎡~
전북,2015,12,6543.9,모든면적
전북,2015,12,6352.5,60㎡
전북,2015,12,6557.099999999999,60㎡~85㎡
전북,2015,12,7844.099999999999,85㎡~102㎡
전북,2015,12,7530.599999999999,102㎡~
전남,2015,12,6299.7,모든면적
전남,2015,12,6596.7,60㎡
전남,2015,12,6289.799999999999,60㎡~85㎡
전남,2015,12,7464.599999999999,85㎡~102㎡
전남,2015,12,7180.799999999999,102㎡~
경북,2015,12,7197.299999999999,모든면적
경북,2015,12,7187.4,60㎡
경북,2015,12,7207.2,60㎡~85㎡
경북,2015,12,8302.8,85㎡~102㎡
경북,2015,12,7821.0,102㎡~
경남,2015,12,7613.099999999999,모든면적
경남,2015,12,7524.0,60㎡
경남,2015,12,7685.7,60㎡~85㎡
경남,2015,12,9682.199999999999,85㎡~102㎡
경남,2015,12,9962.699999999999,102㎡~
제주,2015,12,7484.4,모든면적
제주,2015,12,,60㎡
제주,2015,12,7458.0,60㎡~85㎡
제주,2015,12,8523.9,85㎡~102㎡
제주,2015,12,8494.199999999999,102㎡~
서울,2016,1,20156.399999999998,모든면적
서울,2016,1,21209.1,60㎡
서울,2016,1,19918.8,60㎡~85㎡
서울,2016,1,21492.899999999998,85㎡~102㎡
서울,2016,1,21618.3,102㎡~
인천,2016,1,10530.3,모든면적
인천,2016,1,10982.4,60㎡
인천,2016,1,10263.0,60㎡~85㎡
인천,2016,1,11698.5,85㎡~102㎡
인천,2016,1,11246.4,102㎡~
경기,2016,1,10553.4,모든면적
경기,2016,1,10866.9,60㎡
경기,2016,1,10932.9,60㎡~85㎡
경기,2016,1,11385.0,85㎡~102㎡
경기,2016,1,12705.0,102㎡~
부산,2016,1,10401.599999999999,모든면적
부산,2016,1,9738.3,60㎡
부산,2016,1,10088.1,60㎡~85㎡
부산,2016,1,9758.1,85㎡~102㎡
부산,2016,1,12579.599999999999,102㎡~
대구,2016,1,10183.8,모든면적
대구,2016,1,11025.3,60㎡
대구,2016,1,10239.9,60㎡~85㎡
대구,2016,1,8355.6,85㎡~102㎡
대구,2016,1,9051.9,102㎡~
광주,2016,1,8477.699999999999,모든면적
광주,2016,1,7903.5,60㎡
광주,2016,1,8520.6,60㎡~85㎡
광주,2016,1,,85㎡~102㎡
광주,2016,1,,102㎡~
대전,2016,1,8098.2,모든면적
대전,2016,1,8530.5,60㎡
대전,2016,1,8012.4,60㎡~85㎡
대전,2016,1,8121.299999999999,85㎡~102㎡
대전,2016,1,,102㎡~
울산,2016,1,10051.8,모든면적
울산,2016,1,8527.199999999999,60㎡
울산,2016,1,10074.9,60㎡~85㎡
울산,2016,1,8787.9,85㎡~102㎡
울산,2016,1,9484.199999999999,102㎡~
세종,2016,1,8794.5,모든면적
세종,2016,1,8583.3,60㎡
세종,2016,1,8830.8,60㎡~85㎡
세종,2016,1,8781.3,85㎡~102㎡
세종,2016,1,9081.6,102㎡~
강원,2016,1,7170.9,모든면적
강원,2016,1,7557.0,60㎡
강원,2016,1,7256.7,60㎡~85㎡
강원,2016,1,6801.299999999999,85㎡~102㎡
강원,2016,1,7164.299999999999,102㎡~
