모델명,제조사,유종,배기량,변속형식,복합연비,등급,CO2배출량
아이오닉 1.6GDI 하이브리드 6DCT_17''타이어,현대,휘발유,1580 ,자동6,20.2,1등급,78
아이오닉 1.6GDI 하이브리드 6DCT_15''타이어,현대,휘발유,1580 ,자동6,22.4,1등급,69
티볼리 디젤 MT 2WD Short,쌍용,경유,1597 ,수동6,16.6,1등급,112
K5(JF) 2.0GDI 하이브리드 16인치(15),기아,휘발유,1999 ,자동6,17.5,1등급,91
K5(JF) 2.0GDI 하이브리드 17인치(15),기아,휘발유,1999 ,자동6,17,1등급,94
K5(JF)1.7디젤_ISG(16인치타이어)(15),기아,경유,1685 ,자동7,16.1,1등급,116
아반떼(AD) 1.6디젤_7DCT ISG (17''타이어) (15),현대,경유,1582 ,자동7,17.7,1등급,104
아반떼(AD) 1.6디젤_7DCT ISG (15''/16''타이어) (15),현대,경유,1582 ,자동7,18.4,1등급,100
아반떼(AD) 1.6디젤 (15),현대,경유,1582 ,수동6,17.9,1등급,103
쏘나타(LF) 1.7디젤 7DCT_ISG (18인치 타이어),현대,경유,1685 ,자동7,16,1등급,121
쏘나타(LF) 1.7디젤 7DCT_ISG (17인치 타이어),현대,경유,1685 ,자동7,16.5,1등급,117
쏘나타(LF) 1.7디젤 7DCT_ISG (16인치 타이어),현대,경유,1685 ,자동7,16.8,1등급,115
토요타 PRIUS V,토요타,휘발유,1798 ,무단변속,17.4,1등급,92
쏘나타 2.0GDI 하이브리드(16인치 타이어),현대,휘발유,1999 ,자동6,18.2,1등급,91
쏘나타 2.0GDI 하이브리드(17인치 타이어),현대,휘발유,1999 ,자동6,17.7,1등급,94
BMW 520d,BMW,경유,1995 ,자동8,16.1,1등급,120
"QM6 1.7 DIESEL (2WD 19"" Tire)",르노삼성,경유,1749 ,무단변속,14.2,2등급,134
"QM6 1.7 DIESEL (2WD 17"" Tire)",르노삼성,경유,1749 ,무단변속,14.4,2등급,132
티볼리 1.6 디젤 2WD 6AT SCR,쌍용,경유,1597 ,자동6,14.5,2등급,130
A6 40 TDI,아우디,경유,1968 ,자동7,15.8,2등급,119
DS3 Crossback 1.5 BlueHDi,PSA,경유,1499 ,자동8,15.6,2등급,120
짚 레니게이드 1.6,크라이슬러,경유,1598 ,자동6,15.6,2등급,120
"코나 1.6디젤 4WD (18"" 타이어)",현대,경유,1598 ,자동7,14.6,2등급,129
"코나 1.6디젤 4WD (16""타이어)",현대,경유,1598 ,자동7,15.7,2등급,119
"코나 1.6디젤 4WD (17"" 타이어)",현대,경유,1598 ,자동7,15.3,2등급,123
"K7 2.2디젤 (PE/19""타이어)",기아,경유,2199 ,자동8,14.1,2등급,135
"K7 2.2디젤 (PE/18""타이어)",기아,경유,2199 ,자동8,14.5,2등급,131
"K7 2.2디젤 (PE/17""타이어)",기아,경유,2199 ,자동8,14.6,2등급,130
"셀토스 1.6디젤 4WD (18"" 타이어)",기아,경유,1598 ,자동7,14.8,2등급,127
"셀토스 1.6디젤 4WD (17"" 타이어)",기아,경유,1598 ,자동7,15.3,2등급,122
코란도 1.6 디젤 6MT 2WD SCR ISG,쌍용,경유,1597 ,수동6,15.2,2등급,123
Citroen C3 AirCross 1.5 BlueHDi,PSA,경유,1499 ,자동6,14.1,2등급,134
코란도 1.6 디젤 6AT 2WD SCR,쌍용,경유,1597 ,자동6,14.1,2등급,134
코란도 1.6 디젤 6MT 2WD SCR,쌍용,경유,1597 ,수동6,14.5,2등급,130
토요타 RAV4 Hybrid 2WD,토요타,휘발유,2487 ,무단변속,15.9,2등급,101
토요타 RAV4 Hybrid AWD,토요타,휘발유,2487 ,무단변속,15.5,2등급,102
토요타 RAV4 Hybrid AWD,토요타,휘발유,2487 ,무단변속,15.7,2등급,101
"투싼 개조차 2.0디젤 2WD 6MT (17""타이어)",현대,경유,1995 ,수동6,15.1,2등급,124
"투싼 개조차 2.0디젤 2WD 6MT (18""타이어)",현대,경유,1995 ,수동6,14.7,2등급,128
"투싼 개조차 2.0디젤 2WD 6MT (19""타이어)",현대,경유,1995 ,수동6,14.4,2등급,131
C220 d 4Matic Coupe,벤츠,경유,1950 ,자동9,14.2,2등급,134
Citroen C5 AirCross 1.5 BlueHDi,PSA,경유,1499 ,자동8,14.2,2등급,133
Citroen Grand C4 SPACETOURER 1.5 BlueHDi,PSA,경유,1499 ,자동8,14.5,2등급,130
"K7 2.2디젤 (17""타이어)",기아,경유,2199 ,자동8,14.6,2등급,130
CIVIC TURBO,혼다,휘발유,1498 ,무단변속,13.8,2등급,121
렉서스 UX250h AWD,토요타,휘발유,1987 ,무단변속,15.9,2등급,100
"K7 2.2디젤 (19""타이어)",기아,경유,2199 ,자동8,14.1,2등급,135
"K7 2.2디젤 (18""타이어)",기아,경유,2199 ,자동8,14.5,2등급,131
