모델명,제조사,유종,배기량,변속형식,복합연비,등급,CO2배출량
베뉴 1.6 가솔린 MT (17“타이어),현대,휘발유,1598 ,수동6,13.3,3등급,125
K7 2.5 GDI (PE/18”타이어),기아,휘발유,2497 ,자동8,11.6,3등급,147
베뉴 1.6 가솔린 CVT (15“타이어),현대,휘발유,1598 ,무단변속,13.7,3등급,121
베뉴 1.6 가솔린 CVT (17“타이어),현대,휘발유,1598 ,무단변속,13.3,3등급,125
베뉴 1.6 가솔린 MT (15“타이어),현대,휘발유,1598 ,수동6,13.6,3등급,122
K7 2.5 GDI (PE/17”타이어),기아,휘발유,2497 ,자동8,11.9,3등급,142
BMW X4 xDrive20d,BMW,경유,1995 ,자동8,12.2,3등급,156
"셀토스 1.6T-GDI 2WD (16"" 타이어)",기아,휘발유,1591 ,자동7,12.7,3등급,132
Peugeot 508 SW 2.0 BlueHDi,푸조,경유,1997 ,자동8,13.3,3등급,143
"셀토스 1.6T-GDI 2WD (18"" 타이어)",기아,휘발유,1591 ,자동7,11.8,3등급,143
"셀토스 1.6T-GDI 2WD (17"" 타이어)",기아,휘발유,1591 ,자동7,12.2,3등급,137
"QM6 New 2.0 (17"" Tire)",르노삼성,휘발유,1997 ,무단변속,12,3등급,140
"QM6 New 2.0 (19"" Tire)",르노삼성,휘발유,1997 ,무단변속,11.6,3등급,146
Altima 2.5,닛산,휘발유,2488 ,무단변속,12.9,3등급,131
A3 40 TFSI,아우디,휘발유,1984 ,자동7,11.7,3등급,145
Altima 2.5,닛산,휘발유,2488 ,무단변속,12.8,3등급,132
Altima 2.0,닛산,휘발유,1997 ,무단변속,12.2,3등급,139
BMW 530d RDE,BMW,경유,2993 ,자동8,12.6,3등급,151
BMW X3 xDrive20d,BMW,경유,1995 ,자동8,11.9,3등급,161
BMW 420d Coupe RDE,BMW,경유,1995 ,자동8,13.7,3등급,139
BMW 420d xDrive Gran Coupe RDE,BMW,경유,1995 ,자동8,11.9,3등급,162
BMW 420d Gran Coupe RDE,BMW,경유,1995 ,자동8,12.4,3등급,153
BMW 730d xDrive,BMW,경유,2993 ,자동8,11.8,3등급,163
BMW 420d xDrive Coupe RDE,BMW,경유,1995 ,자동8,12.3,3등급,157
BMW 320d Gran Turismo RDE,BMW,경유,1995 ,자동8,12.8,3등급,149
BMW 320d xDrive Gran Turismo RDE,BMW,경유,1995 ,자동8,12.1,3등급,158
레인지로버 이보크 D150,랜드로버,경유,1999 ,자동9,12.5,3등급,153
레인지로버 이보크 D180,랜드로버,경유,1999 ,자동9,11.9,3등급,162
아반떼 1.6T-GDI (19MY),현대,휘발유,1591 ,수동6,11.6,3등급,142
아반떼 1.6T-GDI_7DCT (19MY),현대,휘발유,1591 ,자동7,12,3등급,138
코란도 1.6 디젤 6AT AWD SCR,쌍용,경유,1597 ,자동6,13.3,3등급,143
BMW 520d,BMW,경유,1995 ,자동8,13.4,3등급,142
BMW 620d xDrive,BMW,경유,1995 ,자동8,12.4,3등급,154
쏘나타(DN8) 2.0CVVL_16인치타이어,현대,휘발유,1999 ,자동6,13.1,3등급,128
쏘나타(DN8) 2.0CVVL_17인치타이어,현대,휘발유,1999 ,자동6,13.3,3등급,126
쏘나타(DN8) 2.0CVVL_18인치타이어,현대,휘발유,1999 ,자동6,13,3등급,129
Citroen C5 AirCross 2.0 BlueHDi,PSA,경유,1997 ,자동8,12.7,3등급,150
재규어 XF 25d AWD,재규어,경유,1999 ,자동8,11.8,3등급,164
짚 레니게이드,크라이슬러,경유,1956 ,자동9,11.8,3등급,164
CR-V 2WD,혼다,휘발유,1498 ,무단변속,12.4,3등급,133
CIVIC 4D,혼다,휘발유,1996 ,무단변속,13.6,3등급,122
재규어 E-PACE D180,재규어,경유,1999 ,자동9,12.4,3등급,155
재규어 E-PACE D150,재규어,경유,1999 ,자동9,12.6,3등급,153
"쏘울 1.6T-GDI (17"" 타이어)",기아,휘발유,1591 ,자동7,12.4,3등급,134
"쏘울 1.6T-GDI (18"" 타이어)",기아,휘발유,1591 ,자동7,12.2,3등급,137
Citroen Grand C4 SPACETOURER 2.0 BlueHDi,PSA,경유,1997 ,자동8,12.7,3등급,151
HR-V 2WD,혼다,휘발유,1799 ,무단변속,11.7,3등급,141
BMW X2 xDrive18d,BMW,경유,1995 ,자동8,13.6,3등급,140
"팰리세이드 2.2디젤 AWD 7인(18""타이어)",현대,경유,2199 ,자동8,11.8,3등급,163
"팰리세이드 2.2디젤 2WD 7인(20""타이어)",현대,경유,2199 ,자동8,12,3등급,160
"팰리세이드 2.2디젤 AWD 8인(18""타이어)",현대,경유,2199 ,자동8,11.8,3등급,163
"팰리세이드 2.2디젤 2WD 8인(18""타이어)",현대,경유,2199 ,자동8,12.4,3등급,155
"팰리세이드 2.2디젤 2WD 7인(18"" 타이어)",현대,경유,2199 ,자동8,12.6,3등급,151
"팰리세이드 2.2디젤 2WD 8인(20""타이어)",현대,경유,2199 ,자동8,12,3등급,160
재규어 XE 20d,재규어,경유,1999 ,자동8,13.1,3등급,146
재규어 XF 20d AWD,재규어,경유,1999 ,자동8,12.4,3등급,155
재규어 XF 20d,재규어,경유,1999 ,자동8,12.7,3등급,151
재규어 XE 20d AWD,재규어,경유,1999 ,자동8,13.6,3등급,141
BMW 320d xDrive,BMW,경유,1995 ,자동8,13.5,3등급,141
재규어 E-PACE D240,재규어,경유,1999 ,자동9,11.8,3등급,164
레인지로버 벨라 D180,랜드로버,경유,1999 ,자동8,11.6,3등급,167
i30 1.6T-GDI_7DCT (N_Line),현대,휘발유,1591 ,자동7,11.8,3등급,143
말리부 1.35 TURBO,한국지엠,휘발유,1341 ,무단변속,13.3,3등급,126
"QM6 2.0 (17"" Tire)",르노삼성,휘발유,1997 ,무단변속,11.7,3등급,144
"QM6 2.0 DIESEL (4WD 19"" Tire)",르노삼성,경유,1995 ,무단변속,11.6,3등급,167
티볼리 디젤 AT 2WD Long EU6C,쌍용,경유,1597 ,자동6,13.3,3등급,143
티볼리 디젤 AT AWD Short EU6C,쌍용,경유,1597 ,자동6,13.4,3등급,142
코란도C 2.2 디젤 6AT 2WD EU6C,쌍용,경유,2157 ,자동6,12.4,3등급,155
티볼리 디젤 AT AWD Long EU6C,쌍용,경유,1597 ,자동6,12.8,3등급,149
코란도C 2.2 디젤 6AT AWD EU6C,쌍용,경유,2157 ,자동6,11.8,3등급,164
"QM6 2.0 DIESEL (4WD 18"" Tire)",르노삼성,경유,1995 ,무단변속,11.7,3등급,165
"QM6 2.0 DIESEL WLTP (2WD 19"" Tire)",르노삼성,경유,1995 ,무단변속,12.1,3등급,158
레인지로버 이보크 2.0D,랜드로버,경유,1999 ,자동9,12.3,3등급,156
레인지로버 이보크 TD4,랜드로버,경유,1999 ,자동9,12.6,3등급,152
"QM6 2.0 DIESEL WLTP (2WD 17"" Tire)",르노삼성,경유,1995 ,무단변속,12.2,3등급,157
Peugeot 508 2.0 BlueHDi,푸조,경유,1997 ,자동8,13.3,3등급,143
Peugeot 508 GT 2.0 BlueHDi,푸조,경유,1997 ,자동8,13.3,3등급,143
K3 1.6 T-GDI 5DR 7DCT (SUMMER TIRE),기아,휘발유,1591 ,자동7,11.9,3등급,141
Peugeot 308 GT 2.0 BlueHDi,푸조,경유,1997 ,자동8,13.1,3등급,146
K3 1.6 T-GDI 5DR 7DCT (ALL SEASON TIRE),기아,휘발유,1591 ,자동7,12.1,3등급,139
K3 1.6 T-GDI 4DR 7DCT (ALL SEASON TIRE),기아,휘발유,1591 ,자동7,12.2,3등급,138
K3 1.6 T-GDI 4DR 6MT (ALL SEASON TIRE),기아,휘발유,1591 ,수동6,12.2,3등급,138
K3 1.6 T-GDI 4DR 7DCT (SUMMER TIRE),기아,휘발유,1591 ,자동7,12.1,3등급,139
재규어 XJ 3.0D,재규어,경유,2993 ,자동8,12.3,3등급,156
Peugeot 5008 GT 2.0 BlueHDi,푸조,경유,1997 ,자동8,12.9,3등급,148
DS7 Crossback 2.0 BlueHDi,PSA,경유,1997 ,자동8,12.8,3등급,149
Peugeot 3008 GT 2.0 BlueHDi,푸조,경유,1997 ,자동8,12.9,3등급,148
재규어 XJ 3.0D,재규어,경유,2993 ,자동8,12.3,3등급,156
"SM6 2.0(17"" Tire)",르노삼성,휘발유,1997 ,자동7,12.2,3등급,139
스팅어 2.2디젤 AWD_17인치타이어,기아,경유,2199 ,자동8,13.3,3등급,143
스팅어 2.2디젤 AWD_18인치타이어,기아,경유,2199 ,자동8,13,3등급,147
디스커버리 스포츠 TD4 180PS,랜드로버,경유,1999 ,자동9,12.1,3등급,159
BMW 620d,BMW,경유,1995 ,자동8,13.4,3등급,142
BMW 520d xDrive,BMW,경유,1995 ,자동8,13.5,3등급,141
"G80 2.2디젤 AWD 19MY (18""타이어)",현대,경유,2199 ,자동8,12.2,3등급,158
"스포티지 2.0디젤 4WD (PE/18""타이어)",기아,경유,1995 ,자동8,12.7,3등급,151
"스토닉 1.0 T-GDI 7DCT (15""타이어)",기아,휘발유,998 ,자동7,13.7,3등급,121
"스포티지 2.0디젤 4WD (PE/19""타이어)",기아,경유,1995 ,자동8,12.4,3등급,154
"스포티지 2.0디젤 4WD (PE/17""타이어)",기아,경유,1995 ,자동8,12.9,3등급,148
"스토닉 1.0 T-GDI 7DCT (17""타이어)",기아,휘발유,998 ,자동7,13.5,3등급,123
"스토닉 1.4 가솔린 6AT 19MY (17""타이어) (15)",기아,휘발유,1368 ,자동6,12.6,3등급,132
"투싼 개조차 2.0디젤 AWD (19""타이어)",현대,경유,1995 ,자동8,12.4,3등급,154
"투싼 개조차 2.0디젤 AWD (18""타이어)",현대,경유,1995 ,자동8,12.7,3등급,151
"투싼 개조차 1.6T-GDI 2WD (18""타이어)",현대,휘발유,1591 ,자동7,11.6,3등급,144
"투싼 개조차 2.0디젤 AWD (17""타이어)",현대,경유,1995 ,자동8,13.1,3등급,145
"투싼 개조차 1.6T-GDI 2WD (17""타이어)",현대,휘발유,1591 ,자동7,11.9,3등급,141
BMW 320d xDrive Gran Turismo WLTP,BMW,경유,1995 ,자동8,12.1,3등급,158
BMW 320d xDrive WLTP,BMW,경유,1995 ,자동8,12.6,3등급,152
BMW 320d Gran Turismo WLTP,BMW,경유,1995 ,자동8,13,3등급,147
BMW 420d xDrive Coupe WLTP,BMW,경유,1995 ,자동8,12.3,3등급,157
BMW 420d Coupe WLTP,BMW,경유,1995 ,자동8,13.7,3등급,139
BMW X1 xDrive18d,BMW,경유,1995 ,자동8,12,3등급,159
MINI Cooper D Countryman ALL4,MINI,경유,1995 ,자동8,13.4,3등급,141
BMW 420d xDrive Gran Coupe WLTP,BMW,경유,1995 ,자동8,11.9,3등급,162
MINI Cooper SD Countryman ALL4,MINI,경유,1995 ,자동8,13.2,3등급,144
BMW 530d WLTP,BMW,경유,2993 ,자동8,12.6,3등급,151
BMW 420d Grand Coupe WLTP,BMW,경유,1995 ,자동8,12.4,3등급,153
BMW 320d EfficientDynamics Edition WLTP,BMW,경유,1995 ,자동8,13.7,3등급,138
BMW 730Ld xDrive WLTP,BMW,경유,2993 ,자동8,11.6,3등급,166
BMW 730d xDrive WLTP,BMW,경유,2993 ,자동8,11.6,3등급,166
BMW 740d xDrive WLTP,BMW,경유,2993 ,자동8,11.6,3등급,166
볼보 V90CCD5 AWD,볼보,경유,1969 ,자동8,12.6,3등급,152
BMW 320d Touring WLTP,BMW,경유,1995 ,자동8,12.8,3등급,149
BMW 320d WLTP,BMW,경유,1995 ,자동8,13.5,3등급,141
볼보 S90D5 AWD,볼보,경유,1969 ,자동8,12.7,3등급,151
Passat 2.0 TSI,폭스바겐,휘발유,1984 ,자동6,12.1,3등급,142
짚 레니게이드,크라이슬러,경유,1956 ,자동9,11.8,3등급,163
짚 체로키 2.2,크라이슬러,경유,2184 ,자동9,12.6,3등급,152
Tiguan 2.0 TDI 4Motion,폭스바겐,경유,1968 ,자동7,13.1,3등급,146
쏘렌토(19MY) 2.0디젤 AWD ISG 7인 18인치,기아,경유,1995 ,자동8,12.2,3등급,158
"쏘렌토(19MY) 2.2디젤 2WD ISG 7인(18"" 타이어)",기아,경유,2199 ,자동8,13.4,3등급,142
쏘렌토(19MY) 2.2디젤 AWD ISG 5인 19인치,기아,경유,2199 ,자동8,12.2,3등급,157
A220 Hatchback,벤츠,휘발유,1991 ,자동7,12.3,3등급,140
쏘렌토(19MY) 2.0디젤 AWD ISG 7인 19인치,기아,경유,1995 ,자동8,11.7,3등급,165
"쏘렌토(19MY) 2.2디젤 2WD ISG 5인(19"" 타이어)",기아,경유,2199 ,자동8,13.2,3등급,144
"쏘렌토(19MY) 2.0디젤 2WD ISG 5인 (19"" 타이어)",기아,경유,1995 ,자동8,13.1,3등급,146
쏘렌토(19MY) 2.0디젤 AWD ISG 5인 19인치,기아,경유,1995 ,자동8,12,3등급,160
쏘렌토(19MY) 2.2디젤 AWD ISG 5인 18인치,기아,경유,2199 ,자동8,12.4,3등급,154
쏘렌토(19MY) 2.2디젤 AWD ISG 7인 19인치,기아,경유,2199 ,자동8,12,3등급,160
"쏘렌토(19MY) 2.0디젤 2WD ISG 7인 (19"" 타이어)",기아,경유,1995 ,자동8,13.1,3등급,146
쏘렌토(19MY) 2.0디젤 AWD ISG 5인 18인치,기아,경유,1995 ,자동8,12.4,3등급,155
쏘렌토(19MY) 2.2디젤 AWD ISG 7인 18인치,기아,경유,2199 ,자동8,12.2,3등급,157
"쏘렌토(19MY) 2.2디젤 2WD ISG 7인(19"" 타이어)",기아,경유,2199 ,자동8,13.2,3등급,144
"쏘렌토(19MY) 2.2디젤 2WD ISG 5인 (18"" 타이어)",기아,경유,2199 ,자동8,13.6,3등급,140
"쏘렌토(19MY) 2.0디젤 2WD ISG 7인 (18"" 타이어)",기아,경유,1995 ,자동8,13.2,3등급,144
CHEVROLET EQUINOX FWD,GM,경유,1598 ,자동6,13.3,3등급,143
CHEVROLET EQUINOX AWD,GM,경유,1598 ,자동6,12.9,3등급,148
K5 2.0CVVL 개조차_18인치 타이어 (15),기아,휘발유,1999 ,자동6,11.6,3등급,144
볼보 XC60D5 AWD,볼보,경유,1969 ,자동8,12.9,3등급,148
싼타페 2.0 디젤 AWD 7인 (19'' 타이어),현대,경유,1995 ,자동8,12,3등급,160
싼타페 2.0 디젤 2WD 5인 (19'' 타이어),현대,경유,1995 ,자동8,13.5,3등급,141
싼타페 2.2 디젤 AWD 7인 (18'' 타이어),현대,경유,2199 ,자동8,12.3,3등급,156
싼타페 2.0 디젤 2WD 7인 (19'' 타이어),현대,경유,1995 ,자동8,13.1,3등급,146
싼타페 2.0 디젤 AWD 5인 (19'' 타이어),현대,경유,1995 ,자동8,12,3등급,160
싼타페 2.2 디젤 2WD 5인 (18'' 타이어),현대,경유,2199 ,자동8,13.6,3등급,140
싼타페 2.2 디젤 2WD 7인 (19'' 타이어),현대,경유,2199 ,자동8,12.8,3등급,149
싼타페 2.2 디젤 AWD 5인 (19'' 타이어),현대,경유,2199 ,자동8,12,3등급,160
싼타페 2.2 디젤 AWD 7인 (19'' 타이어),현대,경유,2199 ,자동8,12,3등급,160
싼타페 2.2 디젤 2WD 5인 (19'' 타이어),현대,경유,2199 ,자동8,13.3,3등급,144
싼타페 2.2 디젤 2WD 7인 (18'' 타이어),현대,경유,2199 ,자동8,13,3등급,146
싼타페 2.0 디젤 AWD 7인 (18'' 타이어),현대,경유,1995 ,자동8,12.3,3등급,156
싼타페 2.2 디젤 AWD 5인 (18'' 타이어),현대,경유,2199 ,자동8,12.3,3등급,156
싼타페 2.0 디젤 AWD 5인 (18'' 타이어),현대,경유,1995 ,자동8,12.3,3등급,156
Passat GT 2.0 TDI 4Motion,폭스바겐,경유,1968 ,자동6,13.6,3등급,140
A6 35 TDI quattro,아우디,경유,1968 ,자동7,11.8,3등급,164
Tiguan Allspace 2.0 TDI,폭스바겐,경유,1968 ,자동7,13.7,3등급,138
Tiguan Allspace 2.0 TDI,폭스바겐,경유,1968 ,자동7,13.7,3등급,138
A4 40 TFSI,아우디,휘발유,1984 ,자동7,12.3,3등급,139
K5 2.0CVVL 개조차_16인치 타이어 (15),기아,휘발유,1999 ,자동6,12.3,3등급,136
K5(JF) 1.6T-GDI 개조차_16인치 타이어 (15),기아,휘발유,1591 ,자동7,13,3등급,127
K5 1.6T-GDI 개조차_18인치 타이어 (15),기아,휘발유,1591 ,자동7,12.3,3등급,134
K5 1.6T-GDI 개조차_17인치 타이어 (15),기아,휘발유,1591 ,자동7,12.8,3등급,130
벨로스터 1.6T-GDI 6MT (ALL SEASON TIRE),현대,휘발유,1591 ,수동6,12.6,3등급,132
벨로스터 1.6T-GDI 7DCT (SUMMMER TIRE),현대,휘발유,1591 ,자동7,12.4,3등급,134
벨로스터 1.6T-GDI 7DCT (ALL SEASON TIRE),현대,휘발유,1591 ,자동7,12.6,3등급,132
벨로스터 1.6T-GDI 6MT (SUMMER TIRE),현대,휘발유,1591 ,수동6,12.4,3등급,134
벨로스터 1.4T-GDI 7DCT,현대,휘발유,1353 ,자동7,13.1,3등급,127
K5 2.0CVVL 개조차_17인치 타이어 (15),기아,휘발유,1999 ,자동6,12.1,3등급,137
"G80 2.2디젤 AWD (19""타이어) (15)",현대,경유,2199 ,자동8,12.1,3등급,159
"G80 2.2디젤 AWD (18""타이어) (15)",현대,경유,2199 ,자동8,12.2,3등급,158
"G80 2.2디젤 2WD (19""타이어) (15)",현대,경유,2199 ,자동8,13.1,3등급,146
HR-V 4WD,혼다,휘발유,1799 ,무단변속,12.3,3등급,140
C220 d 4Matic Coupe,벤츠,경유,2143 ,자동9,13.7,3등급,139
CR-V DIESEL 4WD,혼다,경유,1597 ,자동9,13.5,3등급,141
프라이드(YB) 1.4가솔린 (5DR_15인치 타이어) (15),기아,휘발유,1368 ,자동4,13.1,3등급,126
프라이드(YB) 1.4가솔린 (5DR_16인치 타이어) (15),기아,휘발유,1368 ,자동4,12.8,3등급,130
"스토닉 1.4 가솔린 6AT (17""타이어) (15)",기아,휘발유,1368 ,자동6,12.6,3등급,132
"스토닉 1.4 가솔린 6AT (15""타이어) (15)",기아,휘발유,1368 ,자동6,12.8,3등급,130
S400 d L,벤츠,경유,2925 ,자동9,12.5,3등급,153
S350 d 4Matic,벤츠,경유,2925 ,자동9,12.4,3등급,156
S400 d 4Matic L,벤츠,경유,2925 ,자동9,12.3,3등급,156
S350 d,벤츠,경유,2925 ,자동9,13,3등급,148
재규어 XF 25d AWD,재규어,경유,1999 ,자동8,12.9,3등급,148
G70 2.2디젤 AWD_18인치타이어 (15),현대,경유,2199 ,자동8,13.5,3등급,141
G70 2.2디젤 AWD_17인치타이어 (15),현대,경유,2199 ,자동8,13.6,3등급,140
피아트 500,크라이슬러,휘발유,1368 ,자동6,11.7,3등급,144
피아트 500C,크라이슬러,휘발유,1368 ,자동6,11.7,3등급,144
레인지로버 벨라 D180,랜드로버,경유,1999 ,자동8,12.1,3등급,159
재규어 F-PACE 25d,재규어,경유,1999 ,자동8,11.6,3등급,166
레인지로버 벨라 D300,랜드로버,경유,2993 ,자동8,12.8,3등급,150
BMW M550d xDrive,BMW,경유,2993 ,자동8,11.6,3등급,167
MINI Cooper five-door,MINI,휘발유,1499 ,자동6,12.3,3등급,137
BMW X3 xDrive20d,BMW,경유,1995 ,자동8,12.1,3등급,162
코란도스포츠 2.2 6MT 4WD,쌍용,경유,2157 ,수동6,12,3등급,160
코란도스포츠 2.2 6MT 2WD,쌍용,경유,2157 ,수동6,12.4,3등급,155
CLS400 d 4Matic,벤츠,경유,2925 ,자동9,12.5,3등급,153
말리부 1.5 TURBO,한국지엠,휘발유,1490 ,자동6,12.7,3등급,132
말리부 1.5 TURBO,한국지엠,휘발유,1490 ,자동6,12.2,3등급,138
"쏘렌토(PE) 2.0디젤 2WD ISG 5인(18""타이어) (15)",기아,경유,1995 ,자동6,13.1,3등급,145
"쏘렌토(PE) 2.2디젤 4WD ISG 7인(19""타이어) (15)",기아,경유,2199 ,자동8,11.6,3등급,167
"쏘렌토(PE) 2.2디젤 2WD ISG 5인(19""타이어) (15)",기아,경유,2199 ,자동8,12.6,3등급,152
"쏘렌토(PE) 2.2디젤 4WD ISG 5인(19""타이어) (15)",기아,경유,2199 ,자동8,12.1,3등급,159
"쏘렌토(PE) 2.0디젤 4WD ISG 7인(18""타이어) (15)",기아,경유,1995 ,자동6,11.9,3등급,161
"쏘렌토(PE) 2.0디젤 4WD ISG 5인(18""타이어) (15)",기아,경유,1995 ,자동6,11.9,3등급,161
"쏘렌토(PE) 2.2디젤 4WD ISG 5인(18""타이어) (15)",기아,경유,2199 ,자동8,12.2,3등급,157
"쏘렌토(PE) 2.0디젤 2WD ISG 7인(19""타이어) (15)",기아,경유,1995 ,자동6,12.4,3등급,154
"쏘렌토(PE) 2.2디젤 2WD ISG 7인(19""타이어) (15)",기아,경유,2199 ,자동8,12.6,3등급,152
"쏘렌토(PE) 2.0디젤 2WD ISG 5인(19""타이어) (15)",기아,경유,1995 ,자동6,12.4,3등급,154
"쏘렌토(PE) 2.2디젤 4WD ISG 7인(18""타이어) (15)",기아,경유,2199 ,자동8,11.7,3등급,164
"쏘렌토(PE) 2.2디젤 2WD ISG 7인(18""타이어) (15)",기아,경유,2199 ,자동8,12.9,3등급,148
"쏘렌토(PE) 2.0디젤 2WD ISG 7인(18""타이어) (15)",기아,경유,1995 ,자동6,12.6,3등급,151
"쏘렌토(PE) 2.2디젤 2WD ISG 5인(18""타이어) (15)",기아,경유,2199 ,자동8,13.4,3등급,142
"코나 1.6T-GDI 2WD (18""타이어) (15)",현대,휘발유,1591 ,자동7,12.3,3등급,134
"코나 1.6T-GDI 2WD (16""타이어) (15)",현대,휘발유,1591 ,자동7,12.8,3등급,128
"코나 1.6T-GDI 2WD (17""타이어) (15)",현대,휘발유,1591 ,자동7,12.6,3등급,131
트랙스 1.4,한국지엠,휘발유,1362 ,수동6,12.3,3등급,136
디스커버리 SD4,랜드로버,경유,1999 ,자동8,12.8,3등급,150
CLS250 d 4Matic,벤츠,경유,2143 ,자동7,13,3등급,148
재규어 XJ 3.0D,재규어,경유,2993 ,자동8,12.1,3등급,159
Infiniti Q50S Hybrid,닛산,휘발유,3498 ,자동7,12,3등급,142
ALTIMA 2.5,닛산,휘발유,2488 ,무단변속,12.5,3등급,135
레인지로버 이보크 2.0D,랜드로버,경유,1999 ,자동9,13.6,3등급,141
올란도 1.6 디젤,한국지엠,경유,1598 ,자동6,12.7,3등급,150
K3 1.6T-GDI (2DR) 7DCT (15),기아,휘발유,1591 ,자동7,12,3등급,139
트랙스 1.4,한국지엠,휘발유,1362 ,자동6,11.8,3등급,143
K3 1.6GDI (2DR) (15),기아,휘발유,1591 ,자동6,12.1,3등급,138
K3 1.6GDI (4DR) (15),기아,휘발유,1591 ,수동6,13.5,3등급,123
"K3 1.6GDI (4DR) (16"" 타이어) (15)",기아,휘발유,1591 ,자동6,13.3,3등급,124
K3 1.6GDI (5DR) (15),기아,휘발유,1591 ,자동6,11.8,3등급,142
캡티바 2.0 디젤 5인승,한국지엠,경유,1956 ,자동6,11.8,3등급,164
"K3 1.6GDI (4DR) (17"" 타이어) (15)",기아,휘발유,1591 ,자동6,12.6,3등급,132
K3 1.6T-GDI (2DR) (15),기아,휘발유,1591 ,수동6,11.6,3등급,144
"K3 1.6GDI (4DR) (15"" 타이어) (15)",기아,휘발유,1591 ,자동6,13.7,3등급,121
엑센트 카파 1.4가솔린 CVT (4DR) (15),현대,휘발유,1368 ,무단변속,13.4,3등급,122
엑센트 카파 1.4가솔린 CVT (5DR) (15),현대,휘발유,1368 ,무단변속,13.1,3등급,125
스팅어 2.2디젤 AWD_18인치 타이어 (15),기아,경유,2199 ,자동8,13,3등급,147
스팅어 2.2디젤 AWD_17인치 타이어 (15),기아,경유,2199 ,자동8,13.5,3등급,141
벨로스터 1.6T-GDI_7DCT (15),현대,휘발유,1591 ,자동7,11.8,3등급,140
벨로스터 1.6GDI (15),현대,휘발유,1591 ,자동6,11.8,3등급,140
벨로스터 1.6GDI_6DCT (15),현대,휘발유,1591 ,자동6,12.7,3등급,129
BMW 420d xDrive Gran Coupe,BMW,경유,1995 ,자동8,12.4,3등급,146
아베오 1.4 HB MT,한국지엠,휘발유,1362 ,수동6,13.6,3등급,122
아베오 1.4 HB AT,한국지엠,휘발유,1362 ,자동6,12.1,3등급,139
아베오 1.4 NB AT,한국지엠,휘발유,1362 ,자동6,12.2,3등급,138
BMW 420d xDrive Coupe,BMW,경유,1995 ,자동8,13.4,3등급,148
"쏘렌토 2.2디젤 2WD ISG 7인(18""타이어) (15)",기아,경유,2199 ,자동6,12.3,3등급,156
"SM3 1.6 (17"" Tire)",르노삼성,휘발유,1598 ,무단변속,13.3,3등급,125
"쏘렌토 2.0디젤 2WD ISG 7인(18""타이어) (15)",기아,경유,1995 ,자동6,12.6,3등급,152
"쏘렌토 2.2디젤 2WD ISG 5인(18""타이어) (15)",기아,경유,2199 ,자동6,12.9,3등급,150
"쏘렌토 2.2디젤 2WD ISG 5인(19""타이어) (15)",기아,경유,2199 ,자동6,12,3등급,160
"쏘렌토 2.2디젤 4WD ISG 5인(18""타이어) (15)",기아,경유,2199 ,자동6,11.6,3등급,166
"쏘렌토 2.0디젤 2WD ISG 5인(18""타이어) (15)",기아,경유,1995 ,자동6,13.1,3등급,146
"쏘렌토 2.0디젤 2WD ISG 7인(19""타이어) (15)",기아,경유,1995 ,자동6,12.4,3등급,155
"쏘렌토 2.0디젤 4WD ISG 7인(18""타이어) (15)",기아,경유,1995 ,자동6,11.9,3등급,162
"쏘렌토 2.2디젤 4WD ISG 7인(18""타이어) (15)",기아,경유,2199 ,자동6,11.6,3등급,166
"쏘렌토 2.0디젤 2WD ISG 5인(19""타이어) (15)",기아,경유,1995 ,자동6,12.4,3등급,155
"쏘렌토 2.0디젤 4WD ISG 5인(18""타이어) (15)",기아,경유,1995 ,자동6,11.9,3등급,162
MINI Cooper Convertible,BMW,휘발유,1499 ,자동6,11.9,3등급,144
"쏘렌토 2.2디젤 2WD ISG 7인(19""타이어) (15)",기아,경유,2199 ,자동6,12,3등급,160
GLC250 d 4Matic Coupe,벤츠,경유,2143 ,자동9,12.4,3등급,154
A200,벤츠,휘발유,1595 ,자동7,12,3등급,143
볼보 XC60D5,볼보,경유,2400 ,자동6,11.6,3등급,167
MINI Cooper S Convertible,BMW,휘발유,1998 ,자동6,11.6,3등급,147
GLC220 d 4Matic Coupe,벤츠,경유,2143 ,자동9,12.9,3등급,148
E220 d 4Matic,벤츠,경유,1950 ,자동9,13.7,3등급,139
BMW 420d Gran Coupe,BMW,경유,1995 ,자동8,13.7,3등급,139
볼보 XC60D4 AWD,볼보,경유,1969 ,자동8,13.3,3등급,144
"쏘나타(LF) 1.6T-GDI 개조차 (17"" 타이어) (15)",현대,휘발유,1591 ,자동7,12.8,3등급,128
"쏘나타(LF) 2.0CVVL 개조차 (18"" 타이어) (15)",현대,휘발유,1999 ,자동6,11.6,3등급,143
"쏘나타(LF) 2.0CVVL 개조차 (17"" 타이어) (15)",현대,휘발유,1999 ,자동6,12,3등급,138
"쏘나타(LF) 1.6T-GDI 개조차 (16"" 타이어) (15)",현대,휘발유,1591 ,자동7,13,3등급,126
"쏘나타(LF) 2.0CVVL 개조차 (16"" 타이어) (15)",현대,휘발유,1999 ,자동6,12.3,3등급,136
"쏘나타(LF) 1.6T-GDI 개조차 (18"" 타이어) (15)",현대,휘발유,1591 ,자동7,12.3,3등급,134
CR-V 4WD,혼다,휘발유,1498 ,무단변속,12.2,3등급,138
CR-V 4WD,혼다,휘발유,1498 ,무단변속,12.2,3등급,138
MINI Cooper D Countryman,BMW,경유,1995 ,자동8,13.6,3등급,140
