도로형태_대분류,도로형태,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,터널안,767,22,261,1280,126
단일로,교량위,1449,44,388,1876,140
단일로,고가도로위,722,20,183,1021,48
단일로,지하차도(도로)내,3027,82,864,3290,186
단일로,기타단일로,80846,1491,20840,86102,7919
교차로,교차로내,56255,535,16185,62014,4904
교차로,교차로횡단보도내,7425,141,2816,4786,394
교차로,교차로부근,31674,260,6926,36953,2635
철길건널목,철길건널목,4,3,2,2,1
기타/불명,기타/불명,14667,137,3250,15106,1305
