모델명,제조/수입사,차종,유형,자동차형식,연료종류,배기량,변속형식,복합모드_CO2,복합_연비,등급
BMW iX xDrive40,BMW,승용차,다목적형,전기(MCT),전기,0,없음,0,3.9,고속
투싼 1.6T-GDI 하이브리드 6AT 19인치,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,102,15.8,2등급
투싼 1.6T-GDI 하이브리드 6AT 19인치 (빌트인캠),현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,105,15.3,2등급
타이칸 (5인승),포르쉐,승용차,일반형,전기(MCT),전기,0,없음,0,3.1,고속
타이칸,포르쉐,승용차,일반형,전기(MCT),전기,0,없음,0,3.1,고속
아반떼 N 2.0 T-GDI 6MT 19인치,현대,승용차,일반형,내연기관,휘발유,1998,수동6,158,10.7,4등급
아반떼 N 2.0 T-GDI 8DCT 19인치,현대,승용차,일반형,내연기관,휘발유,1998,자동8,164,10.4,4등급
"타이칸 (High, 5인승)",포르쉐,승용차,일반형,전기(MCT),전기,0,없음,0,3,고속
타이칸 (High),포르쉐,승용차,일반형,전기(MCT),전기,0,없음,0,3,고속
BMW M440i xDrive Convertible,BMW,승용차,일반형,내연기관,휘발유,2998,자동8,177,9.6,4등급
Mercedes-Benz GLA250 4MATIC,벤츠,승용차,다목적형,내연기관,휘발유,1991,자동8,165,10.3,4등급
"Mercedes-Benz CLS300 d 4MATIC	",벤츠,승용차,일반형,하이브리드,경유,1993,자동9,137,13.9,2등급
Passat GT 2.0TDI 4Motion,폭스바겐,승용차,일반형,내연기관,경유,1968,자동7,133,14.3,2등급
재규어 F-PACE SVR,재규어,승용차,다목적형,내연기관,휘발유,5000,자동8,252,7,5등급
BMW M4 Competition Convertible M xDrive,BMW,승용차,일반형,내연기관,휘발유,2993,자동8,208,8.3,5등급
BMW M4 Competition M xDrive,BMW,승용차,일반형,내연기관,휘발유,2993,자동8,206,8.3,5등급
BMW M3 Competition M xDrive,BMW,승용차,일반형,내연기관,휘발유,2993,자동8,206,8.3,5등급
"Mercedes-AMG A35 4MATIC	",벤츠,승용차,일반형,내연기관,휘발유,1991,자동7,168,10.1,4등급
Mercedes-Benz A220 Sedan,벤츠,승용차,일반형,내연기관,휘발유,1991,자동7,145,11.7,3등급
Mercedes-Benz A250 4MATIC,벤츠,승용차,일반형,내연기관,휘발유,1991,자동7,151,11.2,4등급
Mercedes-Benz A220,벤츠,승용차,일반형,내연기관,휘발유,1991,자동7,141,11.9,3등급
SQ5 Sportback TFSI,아우디,승용차,다목적형,내연기관,휘발유,2995,자동8,195,8.9,5등급
BMW 420d Gran Coupe,BMW,승용차,일반형,내연기관,경유,1995,자동8,126,15,2등급
BMW 320d(MY22),BMW,승용차,일반형,내연기관,경유,1995,자동8,125,15.1,2등급
BMW 420i Gran Coupe,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,150,11.2,4등급
Mercedes-Benz S580 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,3982,자동9,232,7.5,5등급
Mercedes-Benz GLE350 e 4MATIC ,벤츠,승용차,다목적형,PHEV,전기+휘발유,1991,자동9,45,2.5 / 9,PHEV
Q7 55 TFSI quattro,아우디,승용차,다목적형,하이브리드,휘발유,2995,자동8,206,8.4,5등급
Q8 55 TFSI quattro,아우디,승용차,다목적형,하이브리드,휘발유,2995,자동8,205,8.5,5등급
G80 2.5T-GDI 2WD 19인치 (SP),현대,승용차,일반형,내연기관,휘발유,2497,자동8,159,10.6,4등급
G80 3.5T-GDI AWD 20인치 (SP 다이내믹),현대,승용차,일반형,내연기관,휘발유,3470,자동8,207,8.3,5등급
G80 3.5T-GDI AWD 20인치 (SP),현대,승용차,일반형,내연기관,휘발유,3470,자동8,206,8.3,5등급
G80 3.5T-GDI AWD 20인치 (22MY),현대,승용차,일반형,내연기관,휘발유,3470,자동8,206,8.3,5등급
G80 3.5T-GDI 2WD 20인치 (SP 다이내믹),현대,승용차,일반형,내연기관,휘발유,3470,자동8,194,8.8,5등급
G80 3.5T-GDI 2WD 20인치 (SP),현대,승용차,일반형,내연기관,휘발유,3470,자동8,193,8.9,5등급
G80 3.5T-GDI 2WD 20인치 (22MY),현대,승용차,일반형,내연기관,휘발유,3470,자동8,190,9,5등급
G80 2.5T-GDI AWD 20인치 (SP),현대,승용차,일반형,내연기관,휘발유,2497,자동8,176,9.7,4등급
G80 2.5T-GDI AWD 20인치 (22MY),현대,승용차,일반형,내연기관,휘발유,2497,자동8,175,9.7,4등급
G80 2.5T-GDI AWD 19인치 (SP),현대,승용차,일반형,내연기관,휘발유,2497,자동8,174,9.8,4등급
G80 2.5T-GDI 2WD 20인치 (SP),현대,승용차,일반형,내연기관,휘발유,2497,자동8,162,10.5,4등급
G80 2.5T-GDI 2WD 20인치 (22MY),현대,승용차,일반형,내연기관,휘발유,2497,자동8,161,10.5,4등급
G80 2.2디젤 AWD 19인치 (SP),현대,승용차,일반형,내연기관,경유,2151,자동8,152,12.7,3등급
G80 2.2디젤 2WD 19인치 (SP),현대,승용차,일반형,내연기관,경유,2151,자동8,137,13.9,2등급
Q5 Sportback 45 TFSI quattro,아우디,승용차,다목적형,내연기관,휘발유,1984,자동7,171,10,4등급
Mercedes-Benz CLA250 4MATIC,벤츠,승용차,일반형,내연기관,휘발유,1991,자동7,158,10.8,4등급
재규어 F-PACE D300,재규어,승용차,다목적형,하이브리드,경유,2997,자동8,170,11.3,4등급
Huracan STO,람보르기니,승용차,일반형,내연기관,휘발유,5204,자동7,279,6.3,5등급
ODYSSEY,혼다,승용차,일반형,내연기관,휘발유,3471,자동10,187,9,5등급
스타리아 2.2디젤 3밴 8AT,현대,화물차,밴형,내연기관,경유,2199,자동8,166,11.6,3등급
스타리아 2.2디젤 3밴 6MT,현대,화물차,밴형,내연기관,경유,2199,수동6,156,12.3,3등급
스타리아 2.2디젤 5밴 8AT (빌트인캠),현대,화물차,밴형,내연기관,경유,2199,자동8,174,11.1,4등급
스타리아 2.2디젤 5밴 8AT,현대,화물차,밴형,내연기관,경유,2199,자동8,172,11.3,4등급
스타리아 2.2디젤 3밴 8AT (빌트인캠),현대,화물차,밴형,내연기관,경유,2199,자동8,168,11.5,4등급
스타리아 2.2디젤 5밴 6MT,현대,화물차,밴형,내연기관,경유,2199,수동6,161,11.9,3등급
스타리아 3.5LPI 5밴 8AT,현대,화물차,밴형,내연기관,LPG,3470,자동8,189,7,5등급
스타리아 3.5LPI 5밴 8AT (빌트인캠),현대,화물차,밴형,내연기관,LPG,3470,자동8,191,6.9,5등급
스타리아 3.5LPI 3밴 8AT,현대,화물차,밴형,내연기관,LPG,3470,자동8,189,7,5등급
스타리아 3.5LPI 3밴 8AT (빌트인캠),현대,화물차,밴형,내연기관,LPG,3470,자동8,191,6.9,5등급
G80 Electrified,현대,승용차,일반형,전기(MCT),전기,0,없음,0,4.3,고속
EV6 항속형 RWD 19인치(빌트인캠미적용),기아,승용차,다목적형,전기(MCT),전기,0,없음,0,5.4,고속
EV6 항속형 RWD 19인치(빌트인캠적용),기아,승용차,다목적형,전기(MCT),전기,0,없음,0,5.3,고속
EV6 항속형 RWD 20인치,기아,승용차,다목적형,전기(MCT),전기,0,없음,0,4.9,고속
EV6 기본형 RWD 19인치,기아,승용차,다목적형,전기(MCT),전기,0,없음,0,5.6,고속
"싼타페 1.6T-GDI 하이브리드 AWD 7인 19""타이어",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,125,13.1,3등급
"싼타페 1.6T-GDI 하이브리드 AWD 7인 17""타이어",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,122,13.4,3등급
"싼타페 1.6T-GDI 하이브리드 2WD 7인 19""타이어",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,114,14.3,2등급
"싼타페 1.6T-GDI 하이브리드 2WD 7인 17""(빌트인캠)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,15,2등급
"싼타페 1.6T-GDI 하이브리드 2WD 7인 17""타이어",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,106,15.3,2등급
"싼타페 1.6T-GDI 하이브리드 AWD 5인 19""타이어",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,125,13.1,3등급
"싼타페 1.6T-GDI 하이브리드 AWD 5인 17""타이어",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,122,13.4,3등급
"싼타페 1.6T-GDI 하이브리드 2WD 5인 19""타이어",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,114,14.3,2등급
"싼타페 1.6T-GDI 하이브리드 2WD 5인 17""(빌트인캠)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,15,2등급
"싼타페 1.6T-GDI 하이브리드 2WD 5인 17""타이어",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,106,15.3,2등급
코나 N 2.0T-GDI 2WD 19인치타이어,현대,승용차,다목적형,내연기관,휘발유,1998,자동8,170,10,4등급
카니발(22MY) 2.2디젤 11인 18인치타이어(빌트인캠),기아,승합차,일반형,내연기관,경유,2151,자동8,154,12.4,3등급
카니발(22MY) 2.2디젤 11인 18인치타이어,기아,승합차,일반형,내연기관,경유,2151,자동8,151,12.7,3등급
카니발(22MY) 2.2디젤 9인 18인치/19인치,기아,승용차,기타형,내연기관,경유,2151,자동8,146,13.1,3등급
카니발(22MY) 2.2디젤 7인 19인치타이어(빌트인캠),기아,승용차,기타형,내연기관,경유,2151,자동8,153,12.5,3등급
카니발(22MY) 2.2디젤 7인 19인치타이어,기아,승용차,기타형,내연기관,경유,2151,자동8,153,12.6,3등급
카니발(22MY) 3.5GDI 하이리무진 7인승 19인치,기아,승용차,기타형,내연기관,휘발유,3470,자동8,205,8.4,5등급
카니발(22MY) 3.5GDI 11인 18인치타이어(빌트인캠),기아,승합차,일반형,내연기관,휘발유,3470,자동8,188,9.1,5등급
카니발(22MY) 3.5GDI 11인 18인치타이어,기아,승합차,일반형,내연기관,휘발유,3470,자동8,188,9.1,5등급
카니발(22MY) 3.5GDI 9인 18인치/19인치,기아,승용차,기타형,내연기관,휘발유,3470,자동8,187,9.1,5등급
카니발(22MY) 3.5GDI 7인 19인치타이어(빌트인캠),기아,승용차,기타형,내연기관,휘발유,3470,자동8,193,8.9,5등급
카니발(22MY) 3.5GDI 7인 19인치타이어,기아,승용차,기타형,내연기관,휘발유,3470,자동8,192,8.9,5등급
카니발(22MY) 2.2디젤 9인 18인치/19인치(빌트인캠),기아,승용차,기타형,내연기관,경유,2151,자동8,147,13,3등급
"카니발(22MY) 2.2디젤 하이리무진 7인승(19""타이어)",기아,승용차,기타형,내연기관,경유,2151,자동8,176,11,4등급
카니발(22MY) 3.5GDI 9인 18인치/19인치(빌트인캠),기아,승용차,기타형,내연기관,휘발유,3470,자동8,188,9.1,5등급
Mercedes-Benz C200 Coupe,벤츠,승용차,일반형,내연기관,휘발유,1991,자동9,161,10.6,4등급
Mercedes-Benz C200 Cabriolet,벤츠,승용차,일반형,내연기관,휘발유,1991,자동9,171,10,4등급
"Mercedes-Benz GLE350 e 4MATIC Coupe	",벤츠,승용차,다목적형,PHEV,전기+휘발유,1991,자동9,45,2.5 / 9,PHEV
재규어 F-PACE P250,재규어,승용차,다목적형,내연기관,휘발유,1997,자동8,197,8.6,5등급
Passat GT 2.0TDI,폭스바겐,승용차,일반형,내연기관,경유,1968,자동7,120,15.7,2등급
Q5 Sportback 40 TDI quattro,아우디,승용차,다목적형,내연기관,경유,1968,자동7,146,13,3등급
e-tron 55 quattro,아우디,승용차,다목적형,전기(MCT),전기,0,없음,0,3,고속
K8 3.5 GDI AWD 19인치,기아,승용차,일반형,내연기관,휘발유,3470,자동8,183,9.3,5등급
K8 3.5 GDI AWD 18인치 (빌트인캠),기아,승용차,일반형,내연기관,휘발유,3470,자동8,180,9.5,4등급
K8 3.5 GDI AWD 18인치 ,기아,승용차,일반형,내연기관,휘발유,3470,자동8,175,9.7,4등급
스타리아 3.5LPI 2WD 11인 18인치 (빌트인캠),현대,승합차,일반형,내연기관,LPG,3470,자동8,199,6.7,5등급
스타리아 3.5LPI 2WD 9인 17인치 (빌트인캠),기아,승용차,기타형,내연기관,LPG,3470,자동8,199,6.7,5등급
스타리아 3.5LPI 2WD 9인 17인치,현대,승용차,기타형,내연기관,LPG,3470,자동8,197,6.7,5등급
스타리아 라운지 3.5LPI 2WD 7인 18인치,현대,승용차,기타형,내연기관,LPG,3470,자동8,199,6.7,5등급
스타리아 라운지 3.5LPI 2WD 7인 18인치 (빌트인캠),현대,승용차,기타형,내연기관,LPG,3470,자동8,202,6.6,5등급
스타리아 라운지 3.5LPI 2WD 9인 18인치 (빌트인캠),현대,승용차,기타형,내연기관,LPG,3470,자동8,205,6.5,5등급
스타리아 3.5LPI 2WD 11인 17인치,현대,승합차,일반형,내연기관,LPG,3470,자동8,199,6.7,5등급
스타리아 3.5LPI 2WD 11인 17인치 (빌트인캠),현대,승합차,일반형,내연기관,LPG,3470,자동8,199,6.7,5등급
스타리아 3.5LPI 2WD 11인 18인치,현대,승합차,일반형,내연기관,LPG,3470,자동8,199,6.7,5등급
스타리아 3.5LPI 2WD 9인 18인치,현대,승용차,기타형,내연기관,LPG,3470,자동8,199,6.7,5등급
스타리아 3.5LPI 2WD 9인 18인치 (빌트인캠),현대,승용차,기타형,내연기관,LPG,3470,자동8,202,6.6,5등급
스타리아 라운지 3.5LPI 2WD 9인 18인치,현대,승용차,기타형,내연기관,LPG,3470,자동8,205,6.5,5등급
플러스2.0(카고),(주) 한신자동차,화물차,일반형,전기(MCT),전기,0,없음,0,2.5,고속
Model S Long Range Plus,테슬라코리아 유한회사,승용차,일반형,전기(MCT),전기,0,없음,0,4.4,고속
Model X Performance,테슬라코리아 유한회사,승용차,다목적형,전기(MCT),전기,0,없음,0,3.8,고속
Model X Performance,테슬라코리아 유한회사,승용차,다목적형,전기(MCT),전기,0,없음,0,3.8,고속
Model X Performance,테슬라코리아 유한회사,승용차,다목적형,전기(MCT),전기,0,없음,0,3.8,고속
Model X Long Range Plus,테슬라코리아 유한회사,승용차,다목적형,전기(MCT),전기,0,없음,0,4,고속
Model X Long Range Plus,테슬라코리아 유한회사,승용차,다목적형,전기(MCT),전기,0,없음,0,4,고속
Model S Performance,테슬라코리아 유한회사,승용차,일반형,전기(MCT),전기,0,없음,0,4.3,고속
Model X Long Range Plus,테슬라코리아 유한회사,승용차,다목적형,전기(MCT),전기,0,없음,0,4,고속
Mercedes-Benz EQA250,벤츠,승용차,다목적형,전기(MCT),전기,0,없음,0,4.1,고속
Mercedes-Benz E350 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,1991,자동9,172,9.9,4등급
Arteon 2.0TDI,폭스바겐,승용차,일반형,내연기관,경유,1968,자동7,121,15.5,2등급
T-Roc 2.0TDI,폭스바겐,승용차,다목적형,내연기관,경유,1968,자동7,115,16.2,1등급
e-tron Sportback 55 quattro,아우디,승용차,다목적형,전기(MCT),전기,0,없음,0,3.1,고속
디펜더 110 P400,랜드로버,승용차,다목적형,하이브리드,휘발유,2996,자동8,255,6.9,5등급
아이오닉5 기본형 RWD 19인치,현대,승용차,다목적형,전기(MCT),전기,0,없음,0,5.1,고속
아이오닉5 기본형 RWD 19인치,현대,승용차,다목적형,전기(MCT),전기,0,없음,0,5.1,고속
아이오닉5 기본형 4WD 19인치,현대,승용차,다목적형,전기(MCT),전기,0,없음,0,4.8,고속
MINI John Cooper Works Clubman ALL4(MY22),BMW,승용차,일반형,내연기관,휘발유,1998,자동8,170,10,4등급
Mercedes-Benz S500 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,179,9.6,4등급
파나메라 4 E-하이브리드 (5인승),포르쉐,승용차,일반형,PHEV,전기+휘발유,2894,자동8,56,2.3 / 8.6,PHEV
파나메라 4 E-하이브리드,포르쉐,승용차,일반형,PHEV,전기+휘발유,2894,자동8,56,2.3 / 8.6,PHEV
BMW M5 CS,BMW,승용차,일반형,내연기관,휘발유,4395,자동8,224,7.7,5등급
BMW X2 M35i,BMW,승용차,다목적형,내연기관,휘발유,1998,자동8,172,9.8,4등급
타이칸 터보 (5인승),포르쉐,승용차,일반형,전기(MCT),전기,0,없음,0,2.9,고속
타이칸 터보,포르쉐,승용차,일반형,전기(MCT),전기,0,없음,0,2.9,고속
짚 랭글러 사하라 4xe,크라이슬러,승용차,다목적형,PHEV,전기+휘발유,1995,자동8,59,2.4 / 9.2,PHEV
마세라티 기블리 트로페오,마세라티,승용차,일반형,내연기관,휘발유,3799,자동8,260,6.5,5등급
캐딜락 Escalade,GM,승용차,다목적형,내연기관,휘발유,6162,자동10,269,6.5,5등급
렉스턴스포츠 2.2 디젤 2WD 6MT SCR,쌍용,화물차,화물,내연기관,경유,2157,수동6,171,11.3,4등급
렉스턴스포츠 2.2 디젤 4WD 6MT SCR,쌍용,화물차,화물,내연기관,경유,2157,수동6,177,11,4등급
렉스턴스포츠 2.2 디젤 2WD 6AT SCR,쌍용,화물차,화물,내연기관,경유,2157,자동6,188,10.4,4등급
렉스턴스포츠 2.2 디젤 4WD 6AT SCR,쌍용,화물차,화물,내연기관,경유,2157,자동6,194,10.1,4등급
렉스턴스포츠 칸 2.2 디젤 2WD 6MT SCR,쌍용,화물차,화물,내연기관,경유,2157,수동6,173,11.2,4등급
렉스턴스포츠 칸 2.2 디젤 4WD 6MT SCR,쌍용,화물차,화물,내연기관,경유,2157,수동6,178,10.9,4등급
렉스턴스포츠 칸 2.2 디젤 2WD 6AT SCR,쌍용,화물차,화물,내연기관,경유,2157,자동6,190,10.3,4등급
렉스턴스포츠 칸 2.2 디젤 4WD 6AT SCR,쌍용,화물차,화물,내연기관,경유,2157,자동6,196,10,4등급
K8 1.6TGDI 하이브리드 18인치 (빌트인캠),기아,승용차,일반형,하이브리드,휘발유,1598,자동6,96,16.8,1등급
K8 1.6TGDI 하이브리드 18인치,기아,승용차,일반형,하이브리드,휘발유,1598,자동6,94,17.1,1등급
K8 1.6TGDI 하이브리드 17인치 (빌트인캠),기아,승용차,일반형,하이브리드,휘발유,1598,자동6,91,17.6,1등급
K8 1.6TGDI 하이브리드 17인치,기아,승용차,일반형,하이브리드,휘발유,1598,자동6,88,18,1등급
스타리아 2.2디젤 2WD  6MT 11인 17인치,현대,승합차,일반형,내연기관,경유,2199,수동6,163,11.8,3등급
스타리아 2.2디젤 2WD 11인 17인치 (빌트인캠),현대,승합차,일반형,내연기관,경유,2199,자동8,179,10.8,4등급
스타리아 2.2디젤 2WD 11인 18인치 (빌트인캠),현대,승합차,일반형,내연기관,경유,2199,자동8,180,10.8,4등급
스타리아 2.2디젤 2WD 9인 18인치 (빌트인캠),현대,승용차,기타형,내연기관,경유,2199,자동8,175,11,4등급
스타리아 2.2디젤 2WD 9인 17인치,현대,승용차,기타형,내연기관,경유,2199,자동8,171,11.3,4등급
스타리아 라운지 2.2디젤 2WD 9인 18인치,현대,승용차,기타형,내연기관,경유,2199,자동8,179,10.8,4등급
스타리아 라운지 2.2디젤 2WD 9인 18인치 (빌트인캠),현대,승용차,기타형,내연기관,경유,2199,자동8,180,10.8,4등급
스타리아 2.2디젤 4WD 11인 18인치 (빌트인캠),현대,승합차,일반형,내연기관,경유,2199,자동8,190,10.3,4등급
스타리아 라운지 2.2디젤 4WD 9인 18인치 (빌트인캠),현대,승용차,기타형,내연기관,경유,2199,자동8,189,10.3,4등급
스타리아 2.2디젤 2WD 11인 17인치,현대,승합차,일반형,내연기관,경유,2199,자동8,179,10.8,4등급
스타리아 2.2디젤 2WD 11인 18인치,현대,승합차,일반형,내연기관,경유,2199,자동8,180,10.8,4등급
스타리아 2.2디젤 2WD 9인 17인치 (빌트인캠),현대,승용차,기타형,내연기관,경유,2199,자동8,175,11,4등급
스타리아 2.2디젤 2WD 9인 18인치,현대,승용차,기타형,내연기관,경유,2199,자동8,175,11,4등급
스타리아 라운지 2.2디젤 2WD 7인 18인치,현대,승용차,기타형,내연기관,경유,2199,자동8,179,10.8,4등급
스타리아 라운지 2.2디젤 2WD 7인 18인치 (빌트인캠),현대,승용차,기타형,내연기관,경유,2199,자동8,180,10.8,4등급
스타리아 2.2디젤 4WD 11인 17인치,현대,승합차,일반형,내연기관,경유,2199,자동8,190,10.3,4등급
스타리아 2.2디젤 4WD 11인 17인치 (빌트인캠),현대,승합차,일반형,내연기관,경유,2199,자동8,190,10.3,4등급
스타리아 2.2디젤 4WD 11인 18인치,현대,승합차,일반형,내연기관,경유,2199,자동8,190,10.3,4등급
스타리아 2.2디젤 4WD 9인 17인치,현대,승용차,기타형,내연기관,경유,2199,자동8,189,10.3,4등급
스타리아 2.2디젤 4WD 9인 17인치 (빌트인캠),현대,승용차,기타형,내연기관,경유,2199,자동8,189,10.3,4등급
스타리아 2.2디젤 4WD 9인 18인치,현대,승용차,기타형,내연기관,경유,2199,자동8,189,10.3,4등급
스타리아 2.2디젤 4WD 9인 18인치 (빌트인캠),현대,승용차,기타형,내연기관,경유,2199,자동8,189,10.3,4등급
스타리아 라운지 2.2디젤 4WD 7인 18인치,현대,승용차,기타형,내연기관,경유,2199,자동8,189,10.3,4등급
스타리아 라운지 2.2디젤 4WD 7인 18인치 (빌트인캠),현대,승용차,기타형,내연기관,경유,2199,자동8,189,10.3,4등급
스타리아 라운지 2.2디젤 4WD 9인 18인치,현대,승용차,기타형,내연기관,경유,2199,자동8,189,10.3,4등급
캐딜락 Escalade(8인승),GM,승용차,다목적형,내연기관,휘발유,6162,자동10,269,6.5,5등급
마세라티 기블리 하이브리드,마세라티,승용차,일반형,하이브리드,휘발유,1995,자동8,186,8.9,5등급
마세라티 콰트로포르테 트로페오,마세라티,승용차,일반형,내연기관,휘발유,3799,자동8,280,6,5등급
페라리 SF90 Spider Assetto Fiorano,페라리,승용차,일반형,PHEV,전기+휘발유,3990,자동8,122,2.6 / 7.2,PHEV
페라리 SF90 Spider,페라리,승용차,일반형,PHEV,전기+휘발유,3990,자동8,122,2.6 / 7.2,PHEV
BMW M135i xDrive,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,170,10,4등급
BMW 120i,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,154,11,4등급
BMW 220i Gran Coupe,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,151,11.2,4등급
K9 PE 3.3GDI 2WD 18인치,기아,승용차,일반형,내연기관,휘발유,3342,자동8,188,9.1,5등급
K9 PE 3.3GDI 2WD 19인치,기아,승용차,일반형,내연기관,휘발유,3342,자동8,197,8.7,5등급
K9 PE 3.3GDI AWD 18인치,기아,승용차,일반형,내연기관,휘발유,3342,자동8,203,8.5,5등급
K9 PE 3.3GDI AWD 19인치,기아,승용차,일반형,내연기관,휘발유,3342,자동8,206,8.4,5등급
K9 PE 3.3T-GDI AWD 19인치,기아,승용차,일반형,내연기관,휘발유,3342,자동8,213,8.1,5등급
K9 PE 3.8GDI 2WD 18인치(빌트인캠),기아,승용차,일반형,내연기관,휘발유,3778,자동8,194,8.8,5등급
K9 PE 3.8GDI 2WD 19인치(빌트인캠),기아,승용차,일반형,내연기관,휘발유,3778,자동8,198,8.6,5등급
K9 PE 3.8GDI AWD 18인치(빌트인캠),기아,승용차,일반형,내연기관,휘발유,3778,자동8,210,8.2,5등급
K9 PE 3.8GDI AWD 19인치(빌트인캠),기아,승용차,일반형,내연기관,휘발유,3778,자동8,209,8.2,5등급
K9 PE 3.8GDI 2WD 18인치,기아,승용차,일반형,내연기관,휘발유,3778,자동8,192,9,5등급
K9 PE 3.8GDI 2WD 19인치,기아,승용차,일반형,내연기관,휘발유,3778,자동8,196,8.8,5등급
K9 PE 3.8GDI AWD 18인치,기아,승용차,일반형,내연기관,휘발유,3778,자동8,204,8.4,5등급
K9 PE 3.8GDI AWD 19인치,기아,승용차,일반형,내연기관,휘발유,3778,자동8,207,8.3,5등급
K9 PE 3.3GDI 2WD 18인치(빌트인캠),기아,승용차,일반형,내연기관,휘발유,3342,자동8,190,9,5등급
K9 PE 3.3GDI 2WD 19인치(빌트인캠),기아,승용차,일반형,내연기관,휘발유,3342,자동8,200,8.6,5등급
K9 PE 3.3GDI AWD 18인치(빌트인캠),기아,승용차,일반형,내연기관,휘발유,3342,자동8,205,8.4,5등급
K9 PE 3.3GDI AWD 19인치(빌트인캠),기아,승용차,일반형,내연기관,휘발유,3342,자동8,208,8.3,5등급
K9 PE 3.3T-GDI 2WD 19인치(빌트인캠),기아,승용차,일반형,내연기관,휘발유,3342,자동8,200,8.6,5등급
K9 PE 3.3T-GDI AWD 19인치(빌트인캠),기아,승용차,일반형,내연기관,휘발유,3342,자동8,216,8,5등급
Mercedes-AMG GLE63 S 4MATIC + Coupe,벤츠,승용차,다목적형,하이브리드,휘발유,3982,자동9,267,6.7,5등급
재규어 XF P250,재규어,승용차,일반형,내연기관,휘발유,1997,자동8,160,10.3,4등급
재규어 XF P250 AWD,재규어,승용차,일반형,내연기관,휘발유,1997,자동8,167,9.9,4등급
Q7 45 TDI quattro,아우디,승용차,다목적형,하이브리드,경유,2967,자동8,183,10.6,4등급
A8 50 TDI quattro,아우디,승용차,일반형,하이브리드,경유,2967,자동8,170,11.4,4등급
S7 TDI,아우디,승용차,일반형,하이브리드,경유,2967,자동8,168,11.5,4등급
A7 50 TDI quattro,아우디,승용차,일반형,하이브리드,경유,2967,자동8,162,11.9,3등급
Q7 50 TDI quattro,아우디,승용차,다목적형,하이브리드,경유,2967,자동8,177,11,4등급
Q7 45 TDI quattro,아우디,승용차,다목적형,하이브리드,경유,2967,자동8,183,10.6,4등급
S6 TDI,아우디,승용차,일반형,하이브리드,경유,2967,자동8,168,11.5,4등급
Q8 50 TDI quattro,아우디,승용차,다목적형,하이브리드,경유,2967,자동8,187,10.4,4등급
Q8 45 TDI quattro,아우디,승용차,다목적형,하이브리드,경유,2967,자동8,177,10.9,4등급
A7 45 TDI quattro ,아우디,승용차,일반형,하이브리드,경유,2967,자동7,147,13,3등급
A6 45 TDI quattro,아우디,승용차,일반형,하이브리드,경유,2967,자동7,148,12.9,3등급
A6 50 TDI quattro,아우디,승용차,일반형,하이브리드,경유,2967,자동8,165,11.7,3등급
Bentayga V8,벤틀리,승용차,다목적형,내연기관,휘발유,3996,자동8,263,6.7,5등급
MINI Cooper S Convertible,MINI,승용차,일반형,내연기관,휘발유,1998,자동7,140,12,3등급
MINI John Cooper Works Convertible,MINI,승용차,일반형,내연기관,휘발유,1998,자동8,149,11.3,4등급
Bentayga V8,벤틀리,승용차,다목적형,내연기관,휘발유,3996,자동8,263,6.7,5등급
짚 그랜드 체로키 L,크라이슬러,승용차,다목적형,내연기관,휘발유,3604,자동8,220,7.7,5등급
짚 그랜드 체로키 L,크라이슬러,승용차,다목적형,내연기관,휘발유,3604,자동8,220,7.7,5등급
A6 40 TDI,아우디,승용차,일반형,내연기관,경유,1968,자동7,126,15,2등급
A6 40 TDI quattro,아우디,승용차,일반형,내연기관,경유,1968,자동7,133,14.2,2등급
A8 L 50 TDI quattro,아우디,승용차,일반형,하이브리드,경유,2967,자동8,173,11.2,4등급
MINI Cooper Convertible,MINI,승용차,일반형,내연기관,휘발유,1499,자동7,139,12.1,3등급
MINI John Cooper Works,MINI,승용차,일반형,내연기관,휘발유,1998,자동8,148,11.4,4등급
타이칸 터보 S (5인승),포르쉐,승용차,일반형,전기(MCT),전기,0,없음,0,2.8,고속
타이칸 터보 S,포르쉐,승용차,일반형,전기(MCT),전기,0,없음,0,2.8,고속
K3 1.6 T-GDI 5DR 7DCT PE (SUMMER TIRE),기아,승용차,일반형,내연기관,휘발유,1591,자동7,141,11.9,3등급
K3 1.6 가솔린 CVT PE (16인치 타이어),기아,승용차,일반형,내연기관,휘발유,1598,무단변속,114,14.4,2등급
