모델명,제조/수입사,차종,유형,자동차형식,연료종류,배기량,변속형식,복합모드_CO2,복합_연비,등급
마세라티 그레칼레 모데나,마세라티,승용차,다목적형,하이브리드,휘발유,1995,자동8,178,9.8,4등급
마세라티 그레칼레 GT,마세라티,승용차,다목적형,하이브리드,휘발유,1995,자동8,176,9.9,4등급
Mercedes-AMG E53 4MATIC + Coupe,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,186,9.2,5등급
Mercedes-AMG E53 4MATIC +,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,187,9.1,5등급
Mercedes-AMG GT43 4MATIC +,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,211,8.2,5등급
Mercedes-AMG CLS53 4MATIC +,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,189,9.1,5등급
911 타르가 4 GTS,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,229,7.7,5등급
911 터보 S 카브리올레,포르쉐,승용차,일반형,내연기관,휘발유,3745,자동8,264,6.7,5등급
Mercedes-AMG GT63 S 4MATIC +,벤츠,승용차,일반형,내연기관,휘발유,3982,자동9,260,6.7,5등급
Peugeot 2008 1.5 BlueHDi,PSA Automobiles,승용차,다목적형,내연기관,경유,1499,자동8,109,17.1,1등급
더 뉴 레인지로버 스포츠 P360,랜드로버,승용차,다목적형,하이브리드,휘발유,2996,자동8,217,8,5등급
Mercedes-AMG CLA45 S 4MATIC +,벤츠,승용차,일반형,내연기관,휘발유,1991,자동8,188,9.1,5등급
RS Q8,아우디,승용차,다목적형,하이브리드,휘발유,3996,자동8,261,6.6,5등급
Mercedes-Benz C300 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,1999,자동9,151,11.2,4등급
Mercedes-Benz C200,벤츠,승용차,일반형,하이브리드,휘발유,1999,자동9,145,11.7,3등급
Mercedes-Benz EQE300,벤츠,승용차,일반형,전기(MCT),전기,0,없음,0,4.2,고속
Mercedes-Benz EQE350 4MATIC,벤츠,승용차,일반형,전기(MCT),전기,0,없음,0,4,고속
Q5 Sportback 45 TFSI quattro,아우디,승용차,다목적형,내연기관,휘발유,1984,자동7,164,10.2,4등급
마세라티 그레칼레 트로페오,마세라티,승용차,다목적형,내연기관,휘발유,2992,자동8,222,8,5등급
페라리 296 GTS,페라리,승용차,일반형,PHEV,전기+휘발유,2992,자동8,149,2.3 / 7.7,PHEV
페라리 푸로산게,페라리,승용차,일반형,내연기관,휘발유,6496,자동8,354,5.1,5등급
S4 TFSI,아우디,승용차,일반형,내연기관,휘발유,2995,자동8,178,9.6,4등급
Q5 45 TFSI quattro,아우디,승용차,다목적형,내연기관,휘발유,1984,자동7,161,10.5,4등급
토요타 Camry Hybrid,토요타,승용차,일반형,하이브리드,휘발유,2487,무단변속,91,17.1,1등급
Mercedes-Benz S580 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,3982,자동9,222,7.8,5등급
Mercedes-Maybach S580 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,3982,자동9,213,8.1,5등급
Mercedes-Maybach S580 4MATIC(5Seats),벤츠,승용차,일반형,하이브리드,휘발유,3982,자동9,213,8.1,5등급
Mercedes-Benz S450 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,179,9.6,4등급
Mercedes-Benz S500 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,189,9.1,5등급
Mercedes-AMG GLC63 S 4MATIC + Coupe,벤츠,승용차,다목적형,내연기관,휘발유,3982,자동9,253,6.9,5등급
RS 5 Sportback,아우디,승용차,일반형,내연기관,휘발유,2894,자동8,205,8.3,5등급
XM3 하이브리드 18인치,르노코리아자동차(주),승용차,기타형,하이브리드,휘발유,1598,자동4,93,17,1등급
XM3 하이브리드 17인치,르노코리아자동차(주),승용차,기타형,하이브리드,휘발유,1598,자동4,91,17.4,1등급
짚 랭글러 루비콘,크라이슬러,승용차,다목적형,내연기관,휘발유,1995,자동8,230,7.4,5등급
A5 Coupe 45 TFSI quattro,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,156,10.9,4등급
A5 Sportback 45 TFSI quattro,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,152,11.2,4등급
A4 45 TFSI quattro,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,158,10.6,4등급
A5 Cabriolet 45 TFSI quattro,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,157,10.7,4등급
MASADA 3세대 2밴,DFSK,화물차,밴형,전기(MCT),전기,0,없음,0,3.8,고속
MASADA 3세대 4밴,DFSK,화물차,밴형,전기(MCT),전기,0,없음,0,3.8,고속
아이오닉6 항속형 RWD 20인치,현대,승용차,일반형,전기(MCT),전기,0,없음,0,5.1,고속
아이오닉6 항속형 RWD 18인치,현대,승용차,일반형,전기(MCT),전기,0,없음,0,6,고속
아이오닉6 항속형 AWD 20인치,현대,승용차,일반형,전기(MCT),전기,0,없음,0,4.8,고속
아이오닉6 항속형 AWD 18인치,현대,승용차,일반형,전기(MCT),전기,0,없음,0,5.5,고속
아이오닉6 기본형 RWD 18인치,현대,승용차,일반형,전기(MCT),전기,0,없음,0,6.2,고속
"A4 40 TFSI	",아우디,승용차,일반형,내연기관,휘발유,1984,자동7,128,13,3등급
A5 Sportback 40 TFSI quattro,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,138,12.1,3등급
A6 45 TFSI,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,154,11,4등급
A6 45 TFSI quattro,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,156,10.7,4등급
S5 Coupe TFSI,아우디,승용차,일반형,내연기관,휘발유,2995,자동8,171,9.9,4등급
Q7 45 TDI quattro,아우디,승용차,다목적형,하이브리드,경유,2967,자동8,183,10.6,4등급
Q7 45 TDI quattro,아우디,승용차,다목적형,하이브리드,경유,2967,자동8,183,10.6,4등급
Jetta,폭스바겐,승용차,일반형,내연기관,휘발유,1498,자동8,119,14.1,2등급
Q7 50 TDI quattro,아우디,승용차,다목적형,하이브리드,경유,2967,자동8,177,11,4등급
BMW 320i,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,149,11.2,4등급
BMW 320d xDrive,BMW,승용차,일반형,내연기관,경유,1995,자동8,143,13.3,3등급
짚 글래디에이터,크라이슬러,화물차,화물,내연기관,휘발유,3604,자동8,277,6.2,5등급
S8 L TFSI,아우디,승용차,일반형,하이브리드,휘발유,3996,자동8,226,7.6,5등급
A8 L 60 TFSI quattro,아우디,승용차,일반형,하이브리드,휘발유,3996,자동8,234,7.4,5등급
A8 L 60 TFSI quattro,아우디,승용차,일반형,하이브리드,휘발유,3996,자동8,234,7.4,5등급
Model X Plaid,테슬라코리아 유한회사,승용차,다목적형,전기(MCT),전기,0,없음,0,4.1,고속
Model X AWD,테슬라코리아 유한회사,승용차,다목적형,전기(MCT),전기,0,없음,0,4.3,고속
Model X AWD,테슬라코리아 유한회사,승용차,다목적형,전기(MCT),전기,0,없음,0,4.3,고속
Model X Plaid,테슬라코리아 유한회사,승용차,다목적형,전기(MCT),전기,0,없음,0,4.1,고속
Model S AWD,테슬라코리아 유한회사,승용차,일반형,전기(MCT),전기,0,없음,0,4.5,고속
Model S Plaid,테슬라코리아 유한회사,승용차,일반형,전기(MCT),전기,0,없음,0,4.1,고속
Model X AWD,테슬라코리아 유한회사,승용차,다목적형,전기(MCT),전기,0,없음,0,4.3,고속
BMW 320d,BMW,승용차,일반형,내연기관,경유,1995,자동8,131,14.5,2등급
BMW X7 M60i xDrive,BMW,승용차,다목적형,하이브리드,휘발유,4395,자동8,250,6.9,5등급
BMW X7 M60i xDrive,BMW,승용차,다목적형,하이브리드,휘발유,4395,자동8,250,6.9,5등급
토레스 가솔린 1.5 AT 4WD 저공해3종 18인치 타이어,쌍용,승용차,기타형,내연기관,휘발유,1497,자동6,164,10.2,4등급
토레스 가솔린 1.5 AT 2WD 저공해3종 18인치 타이어,쌍용,승용차,기타형,내연기관,휘발유,1497,자동6,150,11.1,4등급
토레스 가솔린 1.5 AT 2WD 저공해3종 17인치 타이어,쌍용,승용차,기타형,내연기관,휘발유,1497,자동6,149,11.2,4등급
렉서스 ES300h,토요타,승용차,일반형,하이브리드,휘발유,2487,무단변속,94,16.8,1등급
Peugeot 5008 2.0 BlueHDi,PSA Automobiles,승용차,다목적형,내연기관,경유,1997,자동8,133,14.3,2등급
Peugeot 5008 1.5 BlueHDi,PSA Automobiles,승용차,다목적형,내연기관,경유,1499,자동8,116,16.1,1등급
BMW X7 xDrive40d,BMW,승용차,다목적형,하이브리드,경유,2993,자동8,194,10,4등급
BMW X7 xDrive40i,BMW,승용차,다목적형,하이브리드,휘발유,2998,자동8,218,7.8,5등급
BMW X7 xDrive40d,BMW,승용차,다목적형,하이브리드,경유,2993,자동8,194,10,4등급
BMW X7 xDrive40i,BMW,승용차,다목적형,하이브리드,휘발유,2998,자동8,218,7.8,5등급
Rolls Royce Phantom EWB,롤스로이스,승용차,일반형,내연기관,휘발유,6749,자동8,310,5.8,5등급
Rolls Royce Phantom EWB,롤스로이스,승용차,일반형,내연기관,휘발유,6749,자동8,310,5.8,5등급
Rolls Royce Phantom,롤스로이스,승용차,일반형,내연기관,휘발유,6749,자동8,310,5.8,5등급
Rolls Royce Phantom,롤스로이스,승용차,일반형,내연기관,휘발유,6749,자동8,310,5.8,5등급
투싼 1.6T-GDI HEV 6AT 4WD 17/18인치,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,105,15.3,2등급
투싼 1.6T-GDI HEV 6AT 4WD 19인치,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,107,15.1,2등급
투싼 1.6T-GDI HEV 6AT 4WD 17/18인치 빌트인캠,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,14.9,2등급
투싼 1.6T-GDI HEV 6AT 4WD 19인치 빌트인캠,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,110,14.7,2등급
Mercedes-Benz E450 4MATIC Cabriolet,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,176,9.7,4등급
Mercedes-Benz E450 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,176,9.7,4등급
Mercedes-Benz CLS450 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,172,9.9,4등급
Mercedes-Benz E450 4MATIC Coupe,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,176,9.7,4등급
BMW 320i,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,149,11.2,4등급
BMW M340i,BMW,승용차,일반형,내연기관,휘발유,2998,자동8,162,10.4,4등급
BMW 320i Touring,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,155,10.8,4등급
BMW M340i xDrive Touring,BMW,승용차,일반형,내연기관,휘발유,2998,자동8,176,9.6,4등급
짚 그랜드 체로키 4xe,크라이슬러,승용차,다목적형,PHEV,전기+휘발유,1995,자동8,48,2.3 / 8.8,PHEV
짚 그랜드 체로키 4xe,크라이슬러,승용차,다목적형,PHEV,전기+휘발유,1995,자동8,48,2.3 / 8.8,PHEV
BMW 330e,BMW,승용차,일반형,PHEV,전기+휘발유,1998,자동8,35,3.3 / 11,PHEV
BMW 320e,BMW,승용차,일반형,PHEV,전기+휘발유,1998,자동8,35,3.3 / 11,PHEV
Mercedes-Benz EQE350 +,벤츠,승용차,일반형,전기(MCT),전기,0,없음,0,4.3,고속
셀토스(PE) 2.0 가솔린 4WD 18 인치,기아,승용차,다목적형,내연기관,휘발유,1999,무단변속,148,11.3,4등급
셀토스(PE) 2.0 가솔린 4WD 16 인치 (빌트인캠),기아,승용차,다목적형,내연기관,휘발유,1999,무단변속,138,12.1,3등급
셀토스(PE) 2.0 가솔린 4WD 16 인치,기아,승용차,다목적형,내연기관,휘발유,1999,무단변속,137,12.2,3등급
셀토스(PE) 2.0 가솔린 2WD 18 인치,기아,승용차,다목적형,내연기관,휘발유,1999,무단변속,135,12.3,3등급
셀토스(PE) 2.0 가솔린 2WD 16 인치,기아,승용차,다목적형,내연기관,휘발유,1999,무단변속,128,12.9,3등급
셀토스(PE) 1.6T-GDI 2WD 18인치,기아,승용차,다목적형,내연기관,휘발유,1598,자동8,142,11.8,3등급
셀토스(PE) 1.6T-GDI 2WD 16인치 (빌트인캠),기아,승용차,다목적형,내연기관,휘발유,1598,자동8,133,12.5,3등급
셀토스(PE) 1.6T-GDI 4WD 18인치,기아,승용차,다목적형,내연기관,휘발유,1598,자동8,156,10.8,4등급
셀토스(PE) 1.6T-GDI 4WD 16인치,기아,승용차,다목적형,내연기관,휘발유,1598,자동8,142,11.8,3등급
셀토스(PE) 1.6T-GDI 2WD 16인치,기아,승용차,다목적형,내연기관,휘발유,1598,자동8,130,12.8,3등급
페라리 812 Competizione A,페라리,승용차,일반형,내연기관,휘발유,6496,자동7,318,5.7,5등급
더 뉴 레인지로버 스포츠 D300,랜드로버,승용차,다목적형,하이브리드,경유,2997,자동8,187,10.4,4등급
스포티지 2.0 LPI 19인치,기아,승용차,다목적형,내연기관,LPG,1999,자동6,146,9,5등급
스포티지 2.0 LPI 19인치(빌트인캠),기아,승용차,다목적형,내연기관,LPG,1999,자동6,149,8.8,5등급
스포티지 2.0 LPI 18인치,기아,승용차,다목적형,내연기관,LPG,1999,자동6,144,9.1,5등급
스포티지 2.0 LPI 18인치(빌트인캠),기아,승용차,다목적형,내연기관,LPG,1999,자동6,147,8.9,5등급
스포티지 2.0 LPI 17인치,기아,승용차,다목적형,내연기관,LPG,1999,자동6,143,9.2,5등급
BMW 320d Touring,BMW,승용차,일반형,내연기관,경유,1995,자동8,134,14.2,2등급
BMW 320d xDrive,BMW,승용차,일반형,내연기관,경유,1995,자동8,142,13.5,3등급
BMW 320d,BMW,승용차,일반형,내연기관,경유,1995,자동8,125,15,2등급
볼보 S90B6 AWD,볼보,승용차,일반형,하이브리드,휘발유,1969,자동8,176,9.9,4등급
볼보 S90B5,볼보,승용차,일반형,하이브리드,휘발유,1969,자동8,155,11.1,4등급
BMW i7 xDrive60,BMW,승용차,일반형,전기(MCT),전기,0,없음,0,3.7,고속
BMW 740i,BMW,승용차,일반형,하이브리드,휘발유,2998,자동8,156,10.7,4등급
디스커버리 P300,랜드로버,승용차,다목적형,내연기관,휘발유,1997,자동8,212,8.2,5등급
DS4 Crossback 1.5 BlueHDi,PSA Automobiles,승용차,일반형,내연기관,경유,1499,자동8,113,16.5,1등급
Mercedes-Benz E300 d 4MATIC Coupe,벤츠,승용차,일반형,하이브리드,경유,1993,자동9,141,13.5,3등급
볼보 XC60B5 AWD,볼보,승용차,다목적형,하이브리드,휘발유,1969,자동8,175,9.9,4등급
쏘나타(DN8) 1.6 T-GDI 19인치 23MY,현대,승용차,일반형,내연기관,휘발유,1598,자동8,134,12.4,3등급
쏘나타(DN8) 2.0CVVL_19인치타이어_23MY,현대,승용차,일반형,내연기관,휘발유,1999,자동6,143,11.7,3등급
CEVO-C SE 1인승 밴형,주식회사 쎄보모빌리티,승용차,일반형,전기,전기,0,없음,0,6.3,고속
DS3 CROSSBACK E-TENSE,PSA Automobiles,승용차,다목적형,전기(MCT),전기,0,없음,0,4.9,고속
Peugeot e-2008 SUV,PSA Automobiles,승용차,다목적형,전기(MCT),전기,0,없음,0,4.9,고속
Peugeot e-208,PSA Automobiles,승용차,일반형,전기(MCT),전기,0,없음,0,5.4,고속
Mercedes-AMG G63,벤츠,승용차,다목적형,내연기관,휘발유,3982,자동9,301,5.8,5등급
ID.4 Pro,폭스바겐,승용차,다목적형,전기(MCT),전기,0,없음,0,4.7,고속
T-Roc,폭스바겐,승용차,다목적형,내연기관,경유,1968,자동7,114,16.4,1등급
Tiguan Allspace 2.0 TDI,폭스바겐,승용차,다목적형,내연기관,경유,1968,자동7,129,14.6,2등급
G70 슈팅브레이크 2.0T-GDI AWD 19인치(올시즌)_SP,현대,승용차,기타형,내연기관,휘발유,1998,자동8,181,9.4,4등급
G70 슈팅브레이크 2.0T-GDI AWD 19인치(썸머)_SP,현대,승용차,기타형,내연기관,휘발유,1998,자동8,185,9.1,5등급
G70 슈팅브레이크 2.0T-GDI AWD 19인치(올시즌),현대,승용차,기타형,내연기관,휘발유,1998,자동8,181,9.4,4등급
G70 슈팅브레이크 2.0T-GDI AWD 19인치(썸머),현대,승용차,기타형,내연기관,휘발유,1998,자동8,185,9.1,5등급
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(올시즌),현대,승용차,기타형,내연기관,휘발유,1998,자동8,166,10.2,4등급
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(썸머),현대,승용차,기타형,내연기관,휘발유,1998,자동8,171,9.9,4등급
G70 슈팅브레이크 2.0T-GDI AWD 18인치타이어,현대,승용차,기타형,내연기관,휘발유,1998,자동8,174,9.7,4등급
G70 슈팅브레이크 2.0T-GDI AWD 18인치(빌트인캠),현대,승용차,기타형,내연기관,휘발유,1998,자동8,177,9.6,4등급
G70 슈팅브레이크 2.0T-GDI 2WD 18인치타이어,현대,승용차,기타형,내연기관,휘발유,1998,자동8,162,10.4,4등급
G70 슈팅브레이크2.0T-GDI 2WD 18인치(빌트인캠),현대,승용차,기타형,내연기관,휘발유,1998,자동8,166,10.2,4등급
Mercedes-Maybach GLS600 4MATIC,벤츠,승용차,다목적형,하이브리드,휘발유,3982,자동9,283,6.2,5등급
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(올시즌)_SP,현대,승용차,기타형,내연기관,휘발유,1998,자동8,166,10.2,4등급
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(썸머)_SP,현대,승용차,기타형,내연기관,휘발유,1998,자동8,171,9.9,4등급
Mercedes-Maybach GLS600 4MATIC (5 seater),벤츠,승용차,다목적형,하이브리드,휘발유,3982,자동9,283,6.2,5등급
Mercedes-Benz GLS580 4MATIC,벤츠,승용차,다목적형,하이브리드,휘발유,3982,자동9,289,6,5등급
"Mercedes-AMG GLE63 S 4MATIC+ Coupe						",벤츠,승용차,다목적형,하이브리드,휘발유,3982,자동9,270,6.5,5등급
Mercedes-Benz S400 d 4MATIC,벤츠,승용차,일반형,내연기관,경유,2925,자동9,170,11.4,4등급
DS7 CROSSBACK 1.2 PureTech,PSA Automobiles,승용차,다목적형,내연기관,휘발유,1199,자동8,137,11.8,3등급
Peugeot 3008 1.5 BlueHDi,PSA Automobiles,승용차,다목적형,내연기관,경유,1499,자동8,119,15.8,2등급
렉서스 NX450h+,토요타,승용차,다목적형,PHEV,전기+휘발유,2487,무단변속,26,3.8 / 14.4,PHEV
팰리세이드(PE) 3.8GDI AWD 8인 20인치,현대,승용차,다목적형,내연기관,휘발유,3778,자동8,200,8.5,5등급
팰리세이드(PE) 3.8GDI AWD 8인 18인치,현대,승용차,다목적형,내연기관,휘발유,3778,자동8,196,8.7,5등급
팰리세이드(PE) 3.8GDI 2WD 8인 20인치,현대,승용차,다목적형,내연기관,휘발유,3778,자동8,188,9,5등급
팰리세이드(PE) 3.8GDI 2WD 8인 18인치,현대,승용차,다목적형,내연기관,휘발유,3778,자동8,183,9.3,5등급
팰리세이드(PE) 3.8GDI AWD 7인 18인치,현대,승용차,다목적형,내연기관,휘발유,3778,자동8,196,8.7,5등급
팰리세이드(PE) 3.8GDI AWD 7인 20인치,현대,승용차,다목적형,내연기관,휘발유,3778,자동8,200,8.5,5등급
팰리세이드(PE) 3.8GDI 2WD 7인 20인치,현대,승용차,다목적형,내연기관,휘발유,3778,자동8,188,9,5등급
팰리세이드(PE) 3.8GDI 2WD 7인 18인치,현대,승용차,다목적형,내연기관,휘발유,3778,자동8,183,9.3,5등급
팰리세이드(PE) 2.2 디젤 AWD 7인 20인치,현대,승용차,다목적형,내연기관,경유,2199,자동8,170,11.4,4등급
팰리세이드(PE) 2.2 디젤 AWD 7인 18인치,현대,승용차,다목적형,내연기관,경유,2199,자동8,165,11.7,3등급
팰리세이드(PE) 2.2 디젤 2WD 8인 18인치(빌트인캠),현대,승용차,다목적형,내연기관,경유,2199,자동8,157,12.2,3등급
팰리세이드(PE) 2.2 디젤 2WD 8인 18인치,현대,승용차,다목적형,내연기관,경유,2199,자동8,154,12.4,3등급
팰리세이드(PE) 2.2 디젤 2WD 8인 20인치,현대,승용차,다목적형,내연기관,경유,2199,자동8,159,12,3등급
팰리세이드(PE) 2.2 디젤 AWD 8인 18인치,현대,승용차,다목적형,내연기관,경유,2199,자동8,165,11.7,3등급
팰리세이드(PE) 2.2 디젤 AWD 8인 20인치,현대,승용차,다목적형,내연기관,경유,2199,자동8,170,11.4,4등급
팰리세이드(PE) 2.2 디젤 2WD 7인 20인치,현대,승용차,다목적형,내연기관,경유,2199,자동8,159,12,3등급
팰리세이드(PE) 2.2 디젤 2WD 7인 18인치,현대,승용차,다목적형,내연기관,경유,2199,자동8,154,12.4,3등급
팰리세이드(PE) 2.2 디젤 2WD 7인 18인치(빌트인캠),현대,승용차,다목적형,내연기관,경유,2199,자동8,157,12.2,3등급
더 뉴 레인지로버 P530 LWB (4인승),랜드로버,승용차,다목적형,내연기관,휘발유,4395,자동8,261,6.8,5등급
K5(JF) 2.0GDI 플러그인하이브리드 개조차,기아,승용차,일반형,PHEV,전기+휘발유,1999,자동6,26,4.8 / 17,PHEV
"QM6 2.0 LPLi SULEV30 (19"" Tire)",르노코리아자동차(주),승용차,다목적형,내연기관,LPG,1998,무단변속,153,8.6,5등급
