도로형태_대분류,도로형태,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,터널안,771,40,290,1216,145
단일로,교량위,1444,53,435,1789,166
단일로,고가도로위,572,14,166,712,58
단일로,지하차도(도로)내,2333,78,800,2533,197
단일로,기타단일로,89157,1711,24893,93902,8877
교차로,교차로내,65978,630,20687,73920,5990
교차로,교차로횡단보도내,6746,137,2804,4301,356
교차로,교차로부근,31719,313,7752,36795,2807
철길건널목,철길건널목,3,1,0,3,0
기타,기타,10860,103,2729,10794,990
불명,불명,71,1,8,71,8
