"모델명","제조사","유종","배기량","변속형식","복합연비","등급","CO2배출량"
"G70(IK PE) 2.0T-GDI AWD 19인치(썸머)","현대","휘발유","1998","자동8","9.3","5등급","184"
"A8 L 55 TFSI quattro","아우디","휘발유","2995","자동8","8.7","5등급","201"
"Aventador SVJ Coupe","람보르기니","휘발유","6498","자동7","4.6","5등급","390"
"Mercedes-Benz GLA250 4MATIC","벤츠","휘발유","1991","자동8","10.5","4등급","170"
"Mercedes-Benz GLB250 4MATIC","벤츠","휘발유","1991","자동8","10.5","4등급","170"
"BMW 640i xDrive","BMW","휘발유","2998","자동8","9.6","4등급","179"
"BMW 620d xDrive","BMW","경유","1995","자동8","13.2","3등급","145"
"Rolls Royce Ghost EWB","롤스로이스","휘발유","6749","자동8","5.8","5등급","300"
"Rolls Royce Ghost","롤스로이스","휘발유","6749","자동8","5.7","5등급","308"
"BMW X7 xDrive40d","BMW","경유","2993","자동8","10.5","4등급","184"
"BMW 620d","BMW","경유","1995","자동8","12.7","3등급","151"
"G70(IK PE) 2.0T-GDI AWD 19인치(올시즌)","현대","휘발유","1998","자동8","9.5","4등급","180"
"레인지로버 D350","랜드로버","경유","2997","자동8","9.5","4등급","206"
"타이칸 4S (High)","포르쉐","전기","0","없음","2.9","고속","0"
"G70(IK PE) 2.2디젤 2WD_17인치(빌트인캠)","현대","경유","2199","자동8","14.7","2등급","129"
"G70(IK PE) 2.2디젤 2WD_17인치타이어","현대","경유","2199","자동8","14.9","2등급","127"
"G70(IK PE) 2.2디젤 2WD_18/19인치타이어","현대","경유","2199","자동8","14.2","2등급","134"
"G70(IK PE) 2.2디젤 AWD_17인치타이어","현대","경유","2199","자동8","13.3","3등급","144"
"G70(IK PE)  2.2디젤 AWD_18/19인치타이어","현대","경유","2199","자동8","13.1","3등급","146"
"Rolls Royce Ghost EWB","롤스로이스","휘발유","6749","자동8","5.8","5등급","300"
"Rolls Royce Ghost","롤스로이스","휘발유","6749","자동8","5.7","5등급","308"
"Mercedes-AMG GT-C Roadster","벤츠","휘발유","3982","자동7","7","5등급","248"
"G70(IK PE) 3.3T-GDI AWD 19인치(썸머)_SP","현대","휘발유","3342","자동8","8.5","5등급","203"
"G70(IK PE) 3.3T-GDI AWD 19인치(올시즌)_SP","현대","휘발유","3342","자동8","8.9","5등급","193"
"G70(IK PE) 3.3T-GDI 2WD 19인치(썸머)_SP","현대","휘발유","3342","자동8","9.1","5등급","188"
"G70(IK PE) 3.3T-GDI 2WD 19인치(올시즌)_SP","현대","휘발유","3342","자동8","9.4","4등급","182"
"G70(IK PE) 3.3T-GDI AWD 19인치(썸머)","현대","휘발유","3342","자동8","8.5","5등급","203"
"G70(IK PE)3.3T-GDI AWD 19인치(올시즌)","현대","휘발유","3342","자동8","8.9","5등급","193"
"G70(IK PE) 3.3T-GDI 2WD 19인치(썸머)","현대","휘발유","3342","자동8","9.1","5등급","188"
"G70(IK PE) 3.3T-GDI 2WD 19인치(올시즌)","현대","휘발유","3342","자동8","9.4","4등급","182"
"볼보 XC40B4 AWD","볼보","휘발유","1969","자동8","10.4","4등급","163"
"볼보 V60CCB5 AWD","볼보","휘발유","1969","자동8","9.9","4등급","172"
"볼보 S90B5","볼보","휘발유","1969","자동8","11.3","4등급","150"
"Model X Performance","테슬라코리아 유한회사","전기","0","없음","3.8","고속","0"
"Model S Performance","테슬라코리아 유한회사","전기","0","없음","4.3","고속","0"
"투싼 2.0디젤 2WD 8AT 19인치","현대","경유","1998","자동8","13.9","2등급","137"
"투싼 2.0디젤 AWD 8AT 19인치","현대","경유","1998","자동8","13","3등급","148"
"투싼 1.6T-GDI 2WD 7DCT 19인치","현대","휘발유","1598","자동7","12","3등급","139"
"투싼 1.6T-GDI AWD 7DCT 19인치","현대","휘발유","1598","자동7","11","4등급","153"
"마세라티 르반떼 GTS","마세라티","휘발유","3799","자동8","5.8","5등급","291"
"마세라티 르반떼 트로페오","마세라티","휘발유","3799","자동8","5.8","5등급","291"
"Mercedes-AMG E53 4MATIC + Coupe","벤츠","휘발유","2999","자동9","9.2","5등급","189"
"MINI Cooper S Countryman ALL4","MINI","휘발유","1998","자동8","10.7","4등급","159"
"BMW X7 xDrive40d","BMW","경유","2993","자동8","10.5","4등급","184"
"Mercedes-AMG E53 4MATIC +","벤츠","휘발유","2999","자동9","9.2","5등급","189"
"코나(PE) 1.6T-GDI 2WD 16인치/17인치타이어","현대","휘발유","1598","자동7","13.9","2등급","119"
"코나(PE) 1.6T-GDI 2WD 18인치타이어","현대","휘발유","1598","자동7","12.7","3등급","131"
"코나(PE) 1.6T-GDI 4WD 16인치타이어","현대","휘발유","1598","자동7","12.2","3등급","137"
"코나(PE) 1.6T-GDI 4WD 17인치타이어","현대","휘발유","1598","자동7","11.8","3등급","142"
"티볼리 에어 가솔린 1.5 AT 2WD  18인치 타이어","쌍용","휘발유","1497","자동6","11.8","3등급","142"
"티볼리 에어 가솔린 1.5 AT 2WD  17인치 타이어","쌍용","휘발유","1497","자동6","11.9","3등급","141"
"마이브 M1","투데이션샤인","전기","0","없음","5.5","고속","0"
"BMW X4 xDrive30d","BMW","경유","2993","자동8","12.3","3등급","157"
"코나(PE) 1.6T-GDI 4WD 18인치타이어","현대","휘발유","1598","자동7","11.6","3등급","145"
"마세라티 기블리","마세라티","휘발유","2979","자동8","7.1","5등급","237"
"마세라티 콰트로포르테 350","마세라티","휘발유","2979","자동8","7.4","5등급","226"
"BMW X3 xDrive30d","BMW","경유","2993","자동8","12.4","3등급","155"
"ACCORD HYBRID","혼다","휘발유","1993","무단변속","17.5","1등급","91"
"ACCORD 1.5T","혼다","휘발유","1498","무단변속","13.9","2등급","118"
