모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
G90 3.5T-GDI AWD 4인 19인치(HDP),현대자동차㈜,승용차,일반형,8,,7,9.7,5등급
G90 e-S/C 3.5T-GDI(LONGWHEELBASE)AWD5인20인치(HDP),현대자동차㈜,승용차,일반형,8.1,,7,9.9,5등급
Continental GT V8,폭스바겐그룹코리아 주식회사,승용차,일반형,8,,7,9.6,5등급
더 뉴 레인지로버 스포츠 P360,(주)재규어랜드로버코리아,승용차,다목적형,8,,6.9,10.1,5등급
Continental GT S,폭스바겐그룹코리아 주식회사,승용차,일반형,8,,7,9.6,5등급
BMW M3 Competition Touring M xDrive,BMW코리아㈜,승용차,일반형,8.1,,7,9.9,5등급
Q8 55 e-tron quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,3,368,3,3.1,5등급
Q8 50 e-tron quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,3,298,3,3,5등급
T4K,(주) GS글로벌,화물차,일반형,2.6,241,3,2.3,5등급
Q8 Sportback 55 e-tron quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,2.9,351,2.9,3,5등급
Mercedes-Benz GLS580 4MATIC(6 Seater),메르세데스-벤츠코리아(주),승용차,다목적형,6.6,,6,7.5,5등급
Mercedes-Maybach S680 4MATIC(5 Seats),메르세데스-벤츠코리아(주),승용차,일반형,5.8,,4.7,7.9,5등급
짚 그랜드 체로키,스텔란티스코리아 주식회사,승용차,다목적형,7.4,,6.6,8.8,5등급
짚 그랜드 체로키,스텔란티스코리아 주식회사,승용차,다목적형,7.4,,6.6,8.8,5등급
BMW M2,BMW코리아㈜,승용차,일반형,8.5,,7.4,10.1,5등급
SQ5 Sportback TFSI,폭스바겐그룹코리아 주식회사,승용차,다목적형,8.9,,8,10.3,5등급
SQ5 TFSI,폭스바겐그룹코리아 주식회사,승용차,다목적형,8.8,,7.9,10.1,5등급
디펜더 110 P300,(주)재규어랜드로버코리아,승용차,다목적형,8,,7.3,9.2,5등급
디펜더 110 P300,(주)재규어랜드로버코리아,승용차,다목적형,8,,7.3,9.2,5등급
디펜더 130 P400,(주)재규어랜드로버코리아,승용차,다목적형,7.2,,6.6,8.2,5등급
디스커버리 P300,(주)재규어랜드로버코리아,승용차,다목적형,8,,7.3,9.2,5등급
이엔1톤롱바디카고,(주) 이엔플러스,화물차,일반형,2.8,186,3.3,2.4,5등급
이엔플러스EV1톤롱바디트럭,(주) 이엔플러스,화물차,일반형,3,194,3.5,2.5,5등급
QM6,르노코리아 주식회사,화물차,밴형,8.7,,7.9,9.9,5등급
테라밴키즈,테라팩토리 주식회사,승합차,밴형,3.3,264,3.8,2.9,5등급
Flying Spur V8,폭스바겐그룹코리아 주식회사,승용차,일반형,7.1,,6.2,8.7,5등급
Flying Spur S,폭스바겐그룹코리아 주식회사,승용차,일반형,7.1,,6.2,8.7,5등급
Flying Spur V8,폭스바겐그룹코리아 주식회사,승용차,일반형,7.1,,6.2,8.7,5등급
Flying Spur S,폭스바겐그룹코리아 주식회사,승용차,일반형,7.1,,6.2,8.7,5등급
Ranger Raptor,포드세일즈서비스코리아(유),화물차,화물,9,,8.5,9.8,5등급
카이엔 COUPE (5인승),포르쉐코리아 주식회사,승용차,다목적형,7.5,,6.7,8.7,5등급
테라밴키즈11,테라팩토리 주식회사,승합차,밴형,3.3,264,3.8,2.9,5등급
테라밴,테라팩토리 주식회사,승합차,밴형,3.3,264,3.8,2.9,5등급
카이엔,포르쉐코리아 주식회사,승용차,다목적형,7.5,,6.7,8.7,5등급
카이엔 COUPE,포르쉐코리아 주식회사,승용차,다목적형,7.5,,6.7,8.7,5등급
Mercedes-AMG SL63 4MATIC +,메르세데스-벤츠코리아(주),승용차,일반형,6.3,,5.3,8.3,5등급
Mercedes-AMG G63,메르세데스-벤츠코리아(주),승용차,다목적형,5.6,,5,6.5,5등급
PILOT,혼다코리아(주),승용차,다목적형,8.4,,7.4,10,5등급
카이엔 터보 GT,포르쉐코리아 주식회사,승용차,다목적형,6.5,,5.6,8,5등급
RS 6 Avant performance,폭스바겐그룹코리아 주식회사,승용차,일반형,7.1,,6.1,9,5등급
G70(IK PE2) 3.3T-GDI AWD 19인치(썸머)_SP,현대자동차㈜,승용차,일반형,8.4,,7.5,10,5등급
G70(IK PE2) 3.3T-GDI AWD 19인치(올시즌)_SP,현대자동차㈜,승용차,일반형,8.8,,7.8,10.6,5등급
G70(IK PE2) 3.3T-GDI 2WD 19인치(썸머)_SP,현대자동차㈜,승용차,일반형,9.1,,8.1,10.7,5등급
RS 7 performance,폭스바겐그룹코리아 주식회사,승용차,일반형,7.3,,6.3,9.2,5등급
G70(IK PE2) 3.3T-GDI AWD 19인치(썸머),현대자동차㈜,승용차,일반형,8.4,,7.5,10,5등급
G70(IK PE2) 3.3T-GDI AWD 19인치(올시즌),현대자동차㈜,승용차,일반형,8.8,,7.8,10.6,5등급
G70(IK PE2) 3.3T-GDI 2WD 19인치(썸머),현대자동차㈜,승용차,일반형,9.1,,8.1,10.7,5등급
CHEVROLET COLORADO AWD (MY23),한국지엠주식회사,화물차,일반형,8.1,,7.5,9.1,5등급
Lincoln Corsair 2.0L,포드세일즈서비스코리아(유),승용차,다목적형,9,,7.8,11.1,5등급
CHEVROLET COLORADO RWD (MY23),한국지엠주식회사,화물차,일반형,8.9,,8,10.3,5등급
BMW X5 xDrive40i,BMW코리아㈜,승용차,다목적형,9.2,,8.7,10,5등급
BMW X6 M60i xDrive,BMW코리아㈜,승용차,다목적형,7.8,,7,9.1,5등급
BMW X5 xDrive40i,BMW코리아㈜,승용차,다목적형,9.2,,8.7,10,5등급
RS 3,폭스바겐그룹코리아 주식회사,승용차,일반형,9.2,,8,11.2,5등급
Mercedes-Benz GLE 450 4MATIC ,메르세데스-벤츠코리아(주),승용차,다목적형,8.5,,7.7,9.7,5등급
BMW X5 M Competition,BMW코리아㈜,승용차,다목적형,6.9,,6.1,8.2,5등급
BMW X5 M60i xDrive,BMW코리아㈜,승용차,다목적형,7.5,,6.7,8.7,5등급
Mercedes-Benz GLE 450 4MATIC(5seater),메르세데스-벤츠코리아(주),승용차,다목적형,8.5,,7.7,9.7,5등급
스포티지 2.0 LPI 19인치_24MY,기아 주식회사,승용차,다목적형,9,,8.1,10.2,5등급
스포티지 2.0 LPI 19인치 (빌트인캠) _24MY,기아 주식회사,승용차,다목적형,8.8,,8,9.9,5등급
스포티지 2.0 LPI 18인치_24MY,기아 주식회사,승용차,다목적형,9.1,,8.2,10.3,5등급
스포티지 2.0 LPI 18인치 (빌트인캠) _24MY,기아 주식회사,승용차,다목적형,8.9,,8.1,10,5등급
스포티지 2.0 LPI 17인치_24MY,기아 주식회사,승용차,다목적형,9.2,,8.2,10.6,5등급
짚 글래디에이터,스텔란티스코리아 주식회사,화물차,화물,6.2,,5.7,7,5등급
팰리세이드(PE) 3.8GDI 2WD 7인 20인치(24MY),현대자동차㈜,승용차,다목적형,9,,8,10.7,5등급
팰리세이드(PE) 3.8GDI 2WD 8인 20인치(24MY),현대자동차㈜,승용차,다목적형,9,,8,10.7,5등급
팰리세이드(PE) 3.8GDI AWD 7인 20인치(24MY),현대자동차㈜,승용차,다목적형,8.5,,7.6,10,5등급
팰리세이드(PE) 3.8GDI AWD 8인 20인치(24MY),현대자동차㈜,승용차,다목적형,8.5,,7.6,10,5등급
Mercedes-AMG GLE 53 4MATIC +(5seater),메르세데스-벤츠코리아(주),승용차,다목적형,8,,7.3,9.2,5등급
Mercedes-AMG GLE 53 4MATIC +,메르세데스-벤츠코리아(주),승용차,다목적형,8,,7.3,9.2,5등급
Mercedes-AMG GLE 53 4MATIC + Coupe,메르세데스-벤츠코리아(주),승용차,다목적형,8,,7.3,9.2,5등급
BMW X6 M Competition,BMW코리아㈜,승용차,다목적형,7,,6.2,8.4,5등급
GV70 2.5T-GDI AWD 21인치(24MY),현대자동차㈜,승용차,다목적형,9.2,,8.2,10.7,5등급
GV70 2.5T-GDI AWD 21인치 (스포츠패키지)(24MY),현대자동차㈜,승용차,다목적형,9.2,,8.2,10.7,5등급
GV70 3.5T-GDI AWD 21인치[썸머](스포츠패키지)(24MY),현대자동차㈜,승용차,다목적형,8.2,,7.2,9.7,5등급
GV70 3.5T-GDI AWD 21인치(24MY),현대자동차㈜,승용차,다목적형,8.3,,7.3,9.9,5등급
GV70 3.5T-GDI AWD 21인치 (스포츠패키지)(24MY),현대자동차㈜,승용차,다목적형,8.3,,7.3,9.9,5등급
GV70 3.5T-GDI AWD 19인치(빌트인캠)(24MY),현대자동차㈜,승용차,다목적형,8.5,,7.4,10.2,5등급
GV70 3.5T-GDI AWD 19인치(24MY),현대자동차㈜,승용차,다목적형,8.6,,7.5,10.3,5등급
SQ8 Sportback e-tron,폭스바겐그룹코리아 주식회사,승용차,다목적형,2.6,303,2.5,2.6,5등급
쏘렌토(PE) 2.5T-GDI 4WD 5인 20인치,기아 주식회사,승용차,다목적형,9.3,,8.3,10.8,5등급
쏘렌토(PE) 2.5T-GDI 4WD 6인 20인치,기아 주식회사,승용차,다목적형,9.3,,8.3,10.8,5등급
쏘렌토(PE) 2.5T-GDI 4WD 7인 20인치,기아 주식회사,승용차,다목적형,9.3,,8.3,10.8,5등급
"Mercedes-Benz S 500 4MATIC 	",메르세데스-벤츠코리아(주),승용차,일반형,9.1,,8,10.9,5등급
"Mercedes-Benz S 580 4MATIC	",메르세데스-벤츠코리아(주),승용차,일반형,8,,6.9,10,5등급
Mercedes-Maybach S 580,메르세데스-벤츠코리아(주),승용차,일반형,8,,6.8,10.1,5등급
Mercedes-Maybach S 580(5seater),메르세데스-벤츠코리아(주),승용차,일반형,8,,6.8,10.1,5등급
Mercedes-AMG CLA 45 S 4MATIC +,메르세데스-벤츠코리아(주),승용차,일반형,9.2,,8,11.2,5등급
Mercedes-AMG A 45 S 4MATIC +,메르세데스-벤츠코리아(주),승용차,일반형,8.9,,7.9,10.4,5등급
Mercedes-Maybach S 680 (5 seater),메르세데스-벤츠코리아(주),승용차,일반형,6,,4.9,8.2,5등급
레인지로버 벨라 P400,(주)재규어랜드로버코리아,승용차,다목적형,8.9,,8,10.4,5등급
Mercedes-Maybach S 680,메르세데스-벤츠코리아(주),승용차,일반형,6,,4.9,8.2,5등급
GMC Sierra ,한국지엠주식회사,화물차,일반형,6.6,,5.9,7.8,5등급
짚 랭글러 스포츠,스텔란티스코리아 주식회사,승용차,다목적형,8.2,,7.5,9.1,5등급
짚 랭글러 사하라,스텔란티스코리아 주식회사,승용차,다목적형,8,,7.4,9.1,5등급
짚 랭글러 루비콘,스텔란티스코리아 주식회사,승용차,다목적형,7.5,,7.1,8.1,5등급
짚 랭글러 루비콘,스텔란티스코리아 주식회사,승용차,다목적형,7.6,,7.2,8.1,5등급
RS 5 Sportback Competition,폭스바겐그룹코리아 주식회사,승용차,일반형,8.7,,7.4,11.1,5등급
BMW i7 M70 xDrive,BMW코리아㈜,승용차,일반형,3.3,391,3.2,3.4,5등급
Mercedes-AMG EQS 53 4MATIC +,메르세데스-벤츠코리아(주),승용차,일반형,3.2,406,3.2,3.3,5등급
"GV80 개조 2.5T 2WD 20""/22""",현대자동차㈜,승용차,다목적형,8.9,,7.9,10.5,5등급
"GV80 개조 2.5T AWD 20""/22""",현대자동차㈜,승용차,다목적형,8.3,,7.4,9.7,5등급
"GV80 개조 2.5T AWD 19"" 6/7인",현대자동차㈜,승용차,다목적형,8.5,,7.5,10,5등급
"GV80 개조 2.5T AWD 19"" 5인 빌트인캠 장착",현대자동차㈜,승용차,다목적형,8.7,,7.6,10.5,5등급
"GV80 개조 2.5T AWD 19"" 5인 빌트인캠 미장착",현대자동차㈜,승용차,다목적형,8.9,,7.8,10.6,5등급
"Mercedes-AMG SL 63 4MATIC + 	",메르세데스-벤츠코리아(주),승용차,일반형,6.5,,5.5,8.4,5등급
GV80 개조 3.5T AWD 쿠페,현대자동차㈜,승용차,다목적형,7.8,,6.8,9.3,5등급
"GV80 개조 3.5T AWD 22""",현대자동차㈜,승용차,다목적형,7.7,,6.8,9.2,5등급
"GV80 개조 3.5T AWD 20"" 5인 빌트인캠 미장착",현대자동차㈜,승용차,다목적형,7.9,,6.8,9.7,5등급
"GV80 개조 3.5T 2WD 22""",현대자동차㈜,승용차,다목적형,8.2,,7.3,9.7,5등급
"GV80 개조 3.5T 2WD 20"" 6/7인",현대자동차㈜,승용차,다목적형,8.2,,7.3,9.5,5등급
"GV80 개조 3.5T 2WD 20"" 5인 빌트인캠 장착",현대자동차㈜,승용차,다목적형,8.4,,7.4,9.9,5등급
"GV80 개조 3.5T 2WD 20"" 5인 빌트인캠 미장착",현대자동차㈜,승용차,다목적형,8.6,,7.7,10,5등급
GV80 개조 2.5T AWD 쿠페,현대자동차㈜,승용차,다목적형,8.2,,7.3,9.5,5등급
"GV80 개조 2.5T 2WD 19"" 빌트인캠 장착",현대자동차㈜,승용차,다목적형,9.1,,8,10.8,5등급
"GV80 개조 2.5T 2WD 19"" 빌트인캠 미장착",현대자동차㈜,승용차,다목적형,9.3,,8.2,11,5등급
"GV80 개조 3.5T AWD 20"" 5인 빌트인캠 장착",현대자동차㈜,승용차,다목적형,7.7,,6.8,9.2,5등급
"GV80 개조 3.5T AWD 20"" 6/7인",현대자동차㈜,승용차,다목적형,7.7,,6.8,9.2,5등급
Rolls Royce Spectre,BMW코리아㈜,승용차,일반형,3.2,383,3.1,3.4,5등급
Rolls Royce Black Badge Spectre,BMW코리아㈜,승용차,일반형,3.2,380,3,3.3,5등급
Mustang GT 5.0L Coupe,포드세일즈서비스코리아(유),승용차,일반형,7.2,,6.1,9.2,5등급
"Mercedes-Benz GLS 580 4MATIC	",메르세데스-벤츠코리아(주),승용차,다목적형,6,,5.5,6.8,5등급
"Mercedes-Benz GLS 580 4MATIC	",메르세데스-벤츠코리아(주),승용차,다목적형,6,,5.5,6.8,5등급
"Mercedes-Maybach GLS 600 	",메르세데스-벤츠코리아(주),승용차,다목적형,6.1,,5.4,7.3,5등급
"Mercedes-Maybach GLS 600 	",메르세데스-벤츠코리아(주),승용차,다목적형,6.1,,5.4,7.3,5등급
Atlas TSI,폭스바겐그룹코리아 주식회사,승용차,다목적형,8.6,,7.6,10.1,5등급
볼보 XC90B6 AWD,㈜볼보자동차코리아,승용차,다목적형,9.1,,8.1,10.9,5등급
Atlas TSI,폭스바겐그룹코리아 주식회사,승용차,다목적형,8.6,,7.6,10.1,5등급
한국쓰리축1톤롱바디EV트럭(포터),주식회사 한국쓰리축,화물차,일반형,2.8,185,3.2,2.4,5등급
한국쓰리축1톤롱바디EV트럭(봉고),주식회사 한국쓰리축,화물차,일반형,2.8,183,3.3,2.4,5등급
"카니발(KA4 PE) 3.5GDI 하이리무진 7인 19""",기아 주식회사,승용차,기타형,8.7,,7.6,10.4,5등급
"카니발(KA4 PE) 3.5GDI 하이리무진 9인 18/19""",기아 주식회사,승용차,기타형,8.7,,7.6,10.4,5등급
"카니발(KA4 PE) 3.5GDI 하이리무진 4인 19""",기아 주식회사,승용차,기타형,8.5,,7.4,10.2,5등급
"카니발(KA4 PE) 3.5GDI 9인 19""(C)",기아 주식회사,승용차,기타형,8.9,,7.7,10.9,5등급
"카니발(KA4 PE) 3.5GDI 9인 19""(nC)",기아 주식회사,승용차,기타형,9,,7.8,10.9,5등급
Lincoln Nautilus 2.0L,포드세일즈서비스코리아(유),승용차,다목적형,9,,7.9,10.9,5등급
레인지로버 벨라 P400,(주)재규어랜드로버코리아,승용차,다목적형,8.9,,8,10.4,5등급
"카니발(KA4 PE) 3.5GDI 9인 18""(nC)",기아 주식회사,승용차,기타형,9,,7.8,10.9,5등급
"카니발(KA4 PE) 3.5GDI 7인 19""(nC)",기아 주식회사,승용차,기타형,9,,7.8,10.9,5등급
"카니발(KA4 PE) 3.5GDI 7인 19""(C)",기아 주식회사,승용차,기타형,8.9,,7.7,10.9,5등급
Mustang GT 5.0L Convertible,포드세일즈서비스코리아(유),승용차,일반형,7.2,,6.1,9.2,5등급
Flying Spur V8,폭스바겐그룹코리아 주식회사,승용차,일반형,6.6,,5.5,8.7,5등급
"카니발(KA4 PE) 3.5GDI 9인 18""(C)",기아 주식회사,승용차,기타형,8.9,,7.7,10.9,5등급
마세라티 그란투리스모 트로페오,스텔란티스코리아 주식회사,승용차,일반형,8.4,,7.2,10.5,5등급
페라리 Roma Spider,(주) 에프엠케이,승용차,일반형,8,,7,9.6,5등급
Flying Spur S,폭스바겐그룹코리아 주식회사,승용차,일반형,6.6,,5.5,8.7,5등급
Flying Spur S,폭스바겐그룹코리아 주식회사,승용차,일반형,6.6,,5.5,8.7,5등급
Flying Spur V8,폭스바겐그룹코리아 주식회사,승용차,일반형,6.6,,5.5,8.7,5등급
마세라티 그란투리스모 모데나,스텔란티스코리아 주식회사,승용차,일반형,8.4,,7.2,10.6,5등급
봉고 1톤 2.5T-LPDi 4X4 장축 6MT 킹캡,기아 주식회사,화물차,일반형,6.3,,6.2,6.4,5등급
봉고 1톤 2.5T-LPDi 4X4 장축 6MT 더블캡,기아 주식회사,화물차,일반형,6.3,,6.2,6.4,5등급
포터 2.5T-LPDi 4X4 장축 6MT 더블캡,현대자동차㈜,화물차,일반형,6.3,,6.1,6.4,5등급
봉고 1톤 2.5T-LPDi 2WD 초장축 6MT 표준캡,기아 주식회사,화물차,일반형,7,,6.7,7.4,5등급
봉고 1톤 2.5T-LPDi 2WD 초장축 5AT 표준캡,기아 주식회사,화물차,일반형,6.5,,6.1,7.1,5등급
봉고 1톤 2.5T-LPDi 4X4 장축 6MT 표준캡,기아 주식회사,화물차,일반형,6.3,,6.2,6.4,5등급
봉고 1톤 2.5T-LPDi 2WD 초장축 6MT 킹캡,기아 주식회사,화물차,일반형,7,,6.7,7.4,5등급
봉고 1톤 2.5T-LPDi 2WD 초장축 6MT 더블캡,기아 주식회사,화물차,일반형,6.8,,6.5,7.2,5등급
봉고 1톤 2.5T-LPDi 2WD 초장축 5AT 킹캡,기아 주식회사,화물차,일반형,6.5,,6.1,7.1,5등급
봉고 1톤 2.5T-LPDi 2WD 초장축 5AT 더블캡,기아 주식회사,화물차,일반형,6.4,,6,6.9,5등급
포터 2.5T-LPDi 2WD 초장축 6MT 일반캡,현대자동차㈜,화물차,일반형,7,,6.7,7.4,5등급
포터 2.5T-LPDi 2WD 초장축 5AT 일반캡,현대자동차㈜,화물차,일반형,6.5,,6.1,7.1,5등급
포터 2.5T-LPDi 4X4 장축 6MT 일반캡,현대자동차㈜,화물차,일반형,6.3,,6.2,6.4,5등급
포터 2.5T-LPDi 2WD 초장축 6MT 슈퍼캡,현대자동차㈜,화물차,일반형,7,,6.7,7.4,5등급
포터 2.5T-LPDi 2WD 초장축 6MT 더블캡,현대자동차㈜,화물차,일반형,6.8,,6.5,7.2,5등급
포터 2.5T-LPDi 2WD 초장축 5AT 슈퍼캡,현대자동차㈜,화물차,일반형,6.5,,6.1,7.1,5등급
포터 2.5T-LPDi 2WD 초장축 5AT 더블캡,현대자동차㈜,화물차,일반형,6.4,,6,6.9,5등급
포터 2.5T-LPDi 4X4 장축 6MT 슈퍼캡,현대자동차㈜,화물차,일반형,6.3,,6.2,6.4,5등급
Continental GT V8,폭스바겐그룹코리아 주식회사,승용차,일반형,7.4,,6.4,9,5등급
파나메라 4 (5인승),포르쉐코리아 주식회사,승용차,일반형,8,,7.2,9.4,5등급
GV80 e-S/C 3.5T-GDI 20인치(nC),현대자동차㈜,승용차,다목적형,8.3,,7.4,9.8,5등급
GV80 e-S/C 3.5T-GDI 20인치(C),현대자동차㈜,승용차,다목적형,8.2,,7.3,9.6,5등급
GV80 e-S/C 3.5T-GDI 22인치,현대자동차㈜,승용차,다목적형,8.1,,7.3,9.3,5등급
Mercedes-AMG GT 43 4MATIC + ,메르세데스-벤츠코리아(주),승용차,일반형,8.8,,7.9,10.2,5등급
Continental GT S,폭스바겐그룹코리아 주식회사,승용차,일반형,7.4,,6.4,9,5등급
마세라티 그란카브리오 트로페오,스텔란티스코리아 주식회사,승용차,일반형,8.1,,6.9,10.4,5등급
파나메라 4,포르쉐코리아 주식회사,승용차,일반형,8,,7.2,9.4,5등급
Q8 55 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,8.1,,7.3,9.2,5등급
더 뉴 레인지로버 P530 SWB,(주)재규어랜드로버코리아,승용차,다목적형,7.8,,6.7,9.6,5등급
더 뉴 레인지로버 P530 LWB,(주)재규어랜드로버코리아,승용차,다목적형,7.8,,6.7,9.6,5등급
더 뉴 레인지로버 P530 LWB,(주)재규어랜드로버코리아,승용차,다목적형,7.8,,6.7,9.6,5등급
더 뉴 레인지로버 P615 SV,(주)재규어랜드로버코리아,승용차,다목적형,7.8,,6.7,9.6,5등급
G80(PE) 3.5T-GDI AWD 20“(올시즌),현대자동차㈜,승용차,일반형,8.2,,7.1,10.2,5등급
G80(PE) 3.5T-GDI AWD 20“(썸머),현대자동차㈜,승용차,일반형,8.2,,7.1,10.2,5등급
"G80(PE) 3.5T-GDI AWD 19""",현대자동차㈜,승용차,일반형,8.3,,7.2,10.1,5등급
G80(PE) 3.5T-GDI RWD 20“(올시즌),현대자동차㈜,승용차,일반형,8.8,,7.6,11,5등급
G80(PE) 3.5T-GDI RWD 20“(썸머),현대자동차㈜,승용차,일반형,8.7,,7.4,11,5등급
"G80(PE) 3.5T-GDI RWD 19""",현대자동차㈜,승용차,일반형,9,,7.6,11.7,5등급
더 뉴 레인지로버 P615 SV,(주)재규어랜드로버코리아,승용차,다목적형,7.8,,6.7,9.6,5등급
짚 글래디에이터,스텔란티스코리아 주식회사,화물차,화물,6.4,,6,7.1,5등급
레인지로버 벨라 P250,(주)재규어랜드로버코리아,승용차,다목적형,8.9,,8,10.2,5등급
디펜더 130 P400,(주)재규어랜드로버코리아,승용차,다목적형,7.2,,6.6,8.2,5등급
Mercedes-AMG GLC 43 4MATIC,메르세데스-벤츠코리아(주),승용차,다목적형,8.5,,7.4,10.5,5등급
디펜더 90 P400,(주)재규어랜드로버코리아,승용차,다목적형,7.2,,6.7,7.9,5등급
봉고 1톤 3방덤프 4X4장축 킹캡 MT,기아 주식회사,화물차,덤프형,6.1,,5.9,6.2,5등급
봉고 1톤 일반덤프 4X4장축 킹캡 MT,기아 주식회사,화물차,덤프형,6.1,,5.9,6.2,5등급
Q7 55 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,8.1,,7.2,9.4,5등급
포터 2.5T-LPDi 덤프 장축 슈퍼캡 MT,현대자동차㈜,화물차,덤프형,6,,6,6.1,5등급
포터일렉트릭 24MY,현대자동차㈜,화물차,일반형,3.1,211,3.6,2.7,5등급
짚 그랜드 체로키 L,스텔란티스코리아 주식회사,승용차,다목적형,7.7,,6.7,9.4,5등급
G90 e-S/C 3.5T-GDI AWD 4인 21인치_24MY,현대자동차㈜,승용차,일반형,8.3,,7.2,10.1,5등급
G90 e-S/C 3.5T-GDI(LWB) AWD 5인 20인치_24MY,현대자동차㈜,승용차,일반형,8.2,,7.1,10,5등급
G90 e-S/C 3.5T-GDI 2WD 5인 20인치(nC)_24MY,현대자동차㈜,승용차,일반형,9.1,,7.8,11.2,5등급
G90 e-S/C 3.5T-GDI 2WD 5인 20인치(C)_24MY,현대자동차㈜,승용차,일반형,9.1,,7.8,11.2,5등급
G90 e-S/C 3.5T-GDI 2WD 4인 20인치(nC)_24MY,현대자동차㈜,승용차,일반형,9.1,,7.8,11.2,5등급
G90 e-S/C 3.5T-GDI 2WD 4인 20인치(C)_24MY,현대자동차㈜,승용차,일반형,9.1,,7.8,11.2,5등급
G90 e-S/C 3.5T-GDI AWD 5인 21인치_24MY,현대자동차㈜,승용차,일반형,8.3,,7.2,10.1,5등급
G90 3.5T-GDI 2WD 5인 19인치 (nC)_24MY,현대자동차㈜,승용차,일반형,9.3,,8,11.5,5등급
G90 3.5T-GDI 2WD 5인 19인치(C)_24MY,현대자동차㈜,승용차,일반형,9.3,,8,11.5,5등급
G90 3.5T-GDI 2WD 4인 19인치_24MY,현대자동차㈜,승용차,일반형,9,,7.8,11.1,5등급
G90 3.5T-GDI 2WD 4/5인 블랙라인,현대자동차㈜,승용차,일반형,8.8,,7.6,10.8,5등급
G90 3.5T-GDI 2WD 5인 20인치_24MY,현대자동차㈜,승용차,일반형,8.9,,7.7,10.8,5등급
G90 3.5T-GDI 2WD 4인 20인치_24MY,현대자동차㈜,승용차,일반형,8.9,,7.7,10.8,5등급
G90 3.5T-GDI AWD 5인 19인치_24MY,현대자동차㈜,승용차,일반형,8.5,,7.4,10.3,5등급
G90 3.5T-GDI AWD 4인 19인치_24MY,현대자동차㈜,승용차,일반형,8.5,,7.4,10.3,5등급
G90 3.5T-GDI AWD 4/5인 블랙라인,현대자동차㈜,승용차,일반형,8,,7,9.8,5등급
Bentayga V8 EWB,폭스바겐그룹코리아 주식회사,승용차,다목적형,7,,6.1,8.3,5등급
봉고 전기차 (24MY),기아 주식회사,화물차,일반형,3.1,211,3.6,2.7,5등급
SQ7 TFSI,폭스바겐그룹코리아 주식회사,승용차,다목적형,6.7,,5.9,8,5등급
G90 e-SC 3.5T-GDI(LWB) AWD 4인 20인치_24MY,현대자동차㈜,승용차,일반형,8.2,,7.1,10,5등급
G90 3.5T-GDI AWD 5인 20인치_24MY,현대자동차㈜,승용차,일반형,8.3,,7.2,10.1,5등급
G90 3.5T-GDI AWD 4인 20인치_24MY,현대자동차㈜,승용차,일반형,8.3,,7.2,10.1,5등급
Bentayga S,폭스바겐그룹코리아 주식회사,승용차,다목적형,7,,6.1,8.3,5등급
Bentayga S,폭스바겐그룹코리아 주식회사,승용차,다목적형,7,,6.1,8.3,5등급
Bentayga V8,폭스바겐그룹코리아 주식회사,승용차,다목적형,7,,6.1,8.3,5등급
Bentayga V8,폭스바겐그룹코리아 주식회사,승용차,다목적형,7,,6.1,8.3,5등급
Bentayga V8 EWB,폭스바겐그룹코리아 주식회사,승용차,다목적형,7,,6.1,8.3,5등급
G90 e-S/C 3.5T-GDI 2WD 4/5인 블랙라인,현대자동차㈜,승용차,일반형,8.5,,7.3,10.4,5등급
G90 e-S/C 3.5T-GDI 2WD 5인 21인치_24MY,현대자동차㈜,승용차,일반형,8.8,,7.6,10.8,5등급
G90 e-S/C 3.5T-GDI 2WD 4인 21인치_24MY,현대자동차㈜,승용차,일반형,8.8,,7.6,10.8,5등급
G90 e-S/C 3.5T-GDI AWD 5인 20인치_24MY,현대자동차㈜,승용차,일반형,8.4,,7.3,10.3,5등급
G90 e-S/C 3.5T-GDI AWD 4인 20인치_24MY,현대자동차㈜,승용차,일반형,8.4,,7.3,10.3,5등급
G90 e-S/C 3.5T-GDI AWD 4/5인 블랙라인,현대자동차㈜,승용차,일반형,8.2,,7.1,10,5등급
PILOT,혼다코리아(주),승용차,다목적형,8.3,,7.4,9.8,5등급
Mercedes-AMG GLC 43 4MATIC Coupe,메르세데스-벤츠코리아(주),승용차,다목적형,8.3,,7.2,10.1,5등급
더 뉴 레인지로버 스포츠 P635 SV,(주)재규어랜드로버코리아,승용차,다목적형,7.1,,6.2,8.7,5등급
이네오스 그레나디어  스테이션왜건 가솔린,차봇모터스 주식회사,승용차,다목적형,5.5,,5.3,5.9,5등급
"GV70 FL 3.5T-GDI AWD 19""",현대자동차㈜,승용차,다목적형,8.5,,7.5,10.2,5등급
"GV70 FL 3.5T-GDI AWD 21"" 스포츠패키지(썸머)",현대자동차㈜,승용차,다목적형,8.3,,7.3,9.8,5등급
"GV70 FL 3.5T-GDI RWD 19""",현대자동차㈜,승용차,다목적형,8.9,,7.8,10.9,5등급
