모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
볼보 S90T8 AWD,㈜볼보자동차코리아,승용차,일반형,18.2,93,18,18.5,PHEV
URUS SE,폭스바겐그룹코리아 주식회사,승용차,다목적형,10.8,75,10.2,11.6,PHEV
더 뉴 레인지로버 P550e SWB,(주)재규어랜드로버코리아,승용차,다목적형,12.2,114,11.5,13.1,PHEV
파나메라 4 E-하이브리드,포르쉐코리아 주식회사,승용차,일반형,12.3,90,11.5,13.5,PHEV
더 뉴 레인지로버 스포츠 P550e,(주)재규어랜드로버코리아,승용차,다목적형,12.2,114,11.5,13.1,PHEV
파나메라 4 E-하이브리드 (5인승),포르쉐코리아 주식회사,승용차,일반형,12.3,90,11.5,13.5,PHEV
짚 랭글러 사하라 4xe,스텔란티스코리아 주식회사,승용차,다목적형,12,49,12.2,11.8,PHEV
Mercedes-AMG S 63 E,메르세데스-벤츠코리아(주),승용차,일반형,11.1,36,10.1,12.7,PHEV
카이엔 터보 E-하이브리드,포르쉐코리아 주식회사,승용차,다목적형,11.1,80,10.6,11.9,PHEV
카이엔 터보 E-하이브리드 Coupe,포르쉐코리아 주식회사,승용차,다목적형,11.1,80,10.6,11.9,PHEV
카이엔 S E-하이브리드 COUPE,포르쉐코리아 주식회사,승용차,다목적형,11.6,80,11.1,12.3,PHEV
카이엔 S E-하이브리드 COUPE (5인승),포르쉐코리아 주식회사,승용차,다목적형,11.6,80,11.1,12.3,PHEV
카이엔 터보 E-하이브리드 Coupe (5인승),포르쉐코리아 주식회사,승용차,다목적형,11.1,80,10.6,11.9,PHEV
카이엔 S E-하이브리드,포르쉐코리아 주식회사,승용차,다목적형,11.6,80,11.1,12.3,PHEV
카이엔 E-하이브리드 COUPE,포르쉐코리아 주식회사,승용차,다목적형,11.7,83,11.3,12.3,PHEV
카이엔 E-하이브리드 COUPE (5인승),포르쉐코리아 주식회사,승용차,다목적형,11.7,83,11.3,12.3,PHEV
카이엔 E-하이브리드,포르쉐코리아 주식회사,승용차,다목적형,11.7,83,11.3,12.3,PHEV
A7 55 TFSI e quattro,폭스바겐그룹코리아 주식회사,승용차,일반형,15.4,66.902,14.5,16.8,PHEV
페라리 SF90 XX Stradale,(주) 에프엠케이,승용차,일반형,10.4,21,10.1,10.8,PHEV
볼보 S90T8 AWD,㈜볼보자동차코리아,승용차,일반형,18.2,93,18,18.5,PHEV
페라리 SF90 XX Spider,(주) 에프엠케이,승용차,일반형,10.4,21,10.1,10.8,PHEV
BMW 530e,BMW코리아㈜,승용차,일반형,15.9,104,15.5,16.4,PHEV
레인지로버 벨라 P400e,(주)재규어랜드로버코리아,승용차,다목적형,12.7,64,12,13.6,PHEV
볼보 XC90T8 AWD,㈜볼보자동차코리아,승용차,다목적형,15.5,80,15.5,15.6,PHEV
BMW XM 50e,BMW코리아㈜,승용차,다목적형,11.1,97,10.7,11.6,PHEV
Mercedes-Benz S 580 e 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,12.8,93,11.4,14.9,PHEV
Mercedes-Benz GLE 400 e 4MATIC Coupe,메르세데스-벤츠코리아(주),승용차,다목적형,11.8,95,11.5,12.3,PHEV
BMW XM Label,BMW코리아㈜,승용차,다목적형,10,88,9.7,10.4,PHEV
볼보 XC60T8 AWD,㈜볼보자동차코리아,승용차,다목적형,16.8,87,16.6,17.1,PHEV
BMW X5 xDrive50e,BMW코리아㈜,승용차,다목적형,13.1,110,12.4,14.1,PHEV
토요타 Prius PHEV,한국토요타자동차㈜,승용차,일반형,27.5,91,29,25.7,PHEV
렉서스 RX450h+,한국토요타자동차㈜,승용차,다목적형,19.4,79,20.6,18.1,PHEV
BMW 750e xDrive,BMW코리아㈜,승용차,일반형,15,86,14,16.3,PHEV
BMW XM,BMW코리아㈜,승용차,다목적형,10,88,9.7,10.4,PHEV
토요타 RAV4 PHEV,한국토요타자동차㈜,승용차,다목적형,21.7,89,23.1,20.2,PHEV
Mercedes-Benz S580 e 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,13.8,102,12.5,15.8,PHEV
짚 그랜드 체로키 4xe,스텔란티스코리아 주식회사,승용차,다목적형,12,48,11.4,12.9,PHEV
A7 55 TFSI e quattro,폭스바겐그룹코리아 주식회사,승용차,일반형,15.7,67.192,14.6,17.2,PHEV
짚 그랜드 체로키 4xe,스텔란티스코리아 주식회사,승용차,다목적형,12,48,11.4,12.9,PHEV
페라리 296 GTS,(주) 에프엠케이,승용차,일반형,11,15,9.9,12.7,PHEV
BMW 330e,BMW코리아㈜,승용차,일반형,15.7,59,14.5,17.4,PHEV
BMW 320e,BMW코리아㈜,승용차,일반형,15.7,59,14.5,17.5,PHEV
파나메라 터보 S E-하이브리드 (5인승),포르쉐코리아 주식회사,승용차,일반형,10.5,48,9.6,11.7,PHEV
파나메라 터보 S E-하이브리드,포르쉐코리아 주식회사,승용차,일반형,10.5,48,9.6,11.7,PHEV
렉서스 NX450h+,한국토요타자동차㈜,승용차,다목적형,19.9,80,21,18.7,PHEV
페라리 296 GTB,(주) 에프엠케이,승용차,일반형,11.7,17,10.6,13.5,PHEV
Mercedes-Benz GLC300 e 4MATIC Coupe,메르세데스-벤츠코리아(주),승용차,다목적형,13.3,42,12.9,13.7,PHEV
"Mercedes-Benz E300 e 4MATIC	",메르세데스-벤츠코리아(주),승용차,일반형,14.4,47,13.6,15.5,PHEV
BMW 320e,BMW코리아㈜,승용차,일반형,15.8,56,14.7,17.4,PHEV
"Mercedes-Benz GLE350 e 4MATIC	",메르세데스-벤츠코리아(주),승용차,다목적형,12.5,95,12.2,13,PHEV
Mercedes-Benz GLE350 e 4MATIC Coupe,메르세데스-벤츠코리아(주),승용차,다목적형,12.3,95,11.9,12.8,PHEV
"Mercedes-Benz GLC300 e 4MATIC	",메르세데스-벤츠코리아(주),승용차,다목적형,12.8,40,12.6,13,PHEV
BMW X3 xDrive30e,BMW코리아㈜,승용차,다목적형,13.4,49,12.3,14.9,PHEV
페라리 SF90 Spider,(주) 에프엠케이,승용차,일반형,10.9,22,10.3,11.8,PHEV
페라리 SF90 Spider Assetto Fiorano,(주) 에프엠케이,승용차,일반형,10.9,22,10.3,11.8,PHEV
Mercedes-Benz GLE350 e 4MATIC ,메르세데스-벤츠코리아(주),승용차,다목적형,12.6,95,12.4,12.8,PHEV
"Mercedes-Benz GLE350 e 4MATIC Coupe	",메르세데스-벤츠코리아(주),승용차,다목적형,12.6,95,12.4,12.8,PHEV
Mercedes-Benz C300 e 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,14.8,43,14,15.9,PHEV
짚 랭글러 사하라 4xe,스텔란티스코리아 주식회사,승용차,다목적형,12.7,46,12.7,12.7,PHEV
파나메라 4 E-하이브리드,포르쉐코리아 주식회사,승용차,일반형,12,57,11.1,13.5,PHEV
파나메라 4 E-하이브리드 (5인승),포르쉐코리아 주식회사,승용차,일반형,12,57,11.1,13.5,PHEV
Mercedes-Benz E 300 e 4MATIC FL,메르세데스-벤츠코리아(주),승용차,일반형,13.8,43,12.7,15.3,PHEV
Mercedes-Benz GLC300 e 4MATIC,메르세데스-벤츠코리아(주),승용차,다목적형,12.6,36,12.3,13,PHEV
Mercedes-Benz GLC300 e 4MATIC Coupe,메르세데스-벤츠코리아(주),승용차,다목적형,12.6,36,12.3,13,PHEV
페라리 SF90 Stradale,(주) 에프엠케이,승용차,일반형,11.1,22,10.5,12,PHEV
페라리 SF90 Stradale Assetto Fiorano,(주) 에프엠케이,승용차,일반형,11.1,22,10.5,12,PHEV
Explorer 3.0 PHEV,포드세일즈서비스코리아(유),승용차,다목적형,12.7,43,12,13.7,PHEV
Lincoln Aviator 3.0 PHEV,포드세일즈서비스코리아(유),승용차,다목적형,12.7,43,12,13.7,PHEV
BMW 330e,BMW코리아㈜,승용차,일반형,16.7,58,15.3,18.8,PHEV
BMW X5 xDrive45e iPerformance,BMW코리아㈜,승용차,다목적형,11.4,77,11,12,PHEV
Mercedes-Benz E 300 e 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,13.8,43,15.3,15.3,PHEV
Mercedes-Benz S 560 e,메르세데스-벤츠코리아(주),승용차,일반형,13.7,45,12.8,15,PHEV
토요타 Prius Prime,한국토요타자동차㈜,승용차,일반형,30.6,57,33.2,28,PHEV
Mercedes-Benz S 560 e,메르세데스-벤츠코리아(주),승용차,일반형,13.7,45,12.8,15,PHEV
E300e,메르세데스-벤츠코리아(주),승용차,일반형,13.9,42,13.1,15.1,PHEV
아이오닉 1.6GDI 플러그인하이브리드 개조차_6DCT,현대자동차㈜,승용차,일반형,28.3,66,29.1,27.5,PHEV
넥쏘 19인치 24MY,현대자동차㈜,승용차,다목적형,93.7,,98.9,88,FCEV
넥쏘 17인치 24MY,현대자동차㈜,승용차,다목적형,96.2,,99.5,92.6,FCEV
BMW X6 M Competition,BMW코리아㈜,승용차,다목적형,6.8,,6,8.2,5등급
