요일,사고건수,사망자수,중상자수,경상자수,부상신고자수
일,21289,316,5927,25622,2228
월,27943,387,7303,29513,2376
화,28804,419,7563,29861,2507
수,28861,391,7471,29762,2591
목,29268,402,7607,30135,2452
금,31945,422,8307,33569,2718
토,28726,398,7537,33968,2786
