요일,사고건수,사망자수,중상자수,경상자수,부상신고자수
일,25658,361,8512,30471,3081
월,33340,540,10269,34309,3272
화,34133,479,10677,34944,3474
수,33615,493,10496,34778,3301
목,33241,503,10409,34168,3225
금,36422,528,11302,38049,3797
토,33191,445,10641,38805,3732
