도로형태_대분류,도로형태,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,터널안,847,27,276,1248,141
단일로,교량위,1521,48,409,2029,152
단일로,고가도로위,691,9,181,923,37
단일로,지하차도(도로)내,2144,70,681,2363,137
단일로,기타단일로,84839,1583,22863,90289,7486
교차로,교차로내,62304,590,18646,68816,4772
교차로,교차로횡단보도내,6818,138,2696,4424,336
교차로,교차로부근,30423,267,6990,35325,2232
철길건널목,철길건널목,1,0,0,1,0
기타,기타,13340,178,3095,13694,1112
불명,불명,202,6,68,171,15
