발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
01,15894,193,4236,17259,1296
02,12362,161,3301,13209,1078
03,13620,183,3640,14176,1037
04,16472,216,4478,17873,1448
05,18065,235,4872,19207,1693
06,16481,231,4438,17451,1540
07,17115,241,4499,18677,1636
08,16496,242,4301,18158,1495
09,17216,257,4448,18615,1581
10,18508,285,4883,20179,1713
11,17578,257,4544,18561,1638
12,17029,234,4075,19065,1503
