요일,사고건수,사망자수,중상자수,경상자수,부상신고자수
일,21259,314,5982,25581,2382
월,28735,371,7750,29789,2730
화,29001,352,7669,29622,2765
수,29520,386,7747,30158,2713
목,29188,391,7611,30119,2751
금,32814,399,8571,34165,3070
토,27779,338,7659,32135,2830
