시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
경북,군위군,93,4,50,113,2
경북,의성군,223,9,132,165,8
경북,청송군,93,2,43,59,30
경북,영양군,47,3,18,43,5
경북,영덕군,220,10,117,214,19
경북,청도군,199,6,67,203,12
경북,고령군,154,11,59,158,5
경북,성주군,278,13,112,271,27
경북,칠곡군,676,7,190,788,95
경북,예천군,155,8,79,116,2
경북,봉화군,99,6,40,94,0
경북,울진군,144,10,105,131,8
경북,울릉군,15,0,10,13,0
경북,경산시,874,20,274,912,16
경남,진주시,568,25,264,401,19
경남,통영시,630,7,192,690,33
경남,김해시,1924,23,732,1776,152
경남,밀양시,485,9,242,422,34
경남,거제시,698,14,268,613,52
경남,의령군,112,6,44,77,9
경남,함안군,266,9,123,247,8
경남,창녕군,227,9,139,169,20
경남,양산시,1232,18,355,1083,170
경남,고성군,208,13,113,148,4
경남,사천시,592,8,215,652,54
경남,남해군,167,10,77,117,82
경남,하동군,127,9,77,105,6
경남,산청군,151,8,70,151,16
경남,함양군,196,11,112,132,36
경남,거창군,228,10,120,169,16
경남,합천군,151,8,121,96,12
경남,창원시(통합),2649,61,828,2499,183
제주,제주시,2790,39,667,2964,491
제주,서귀포시,1249,14,400,1239,260
대구,중구,720,3,180,676,169
대구,동구,1522,8,343,1653,200
대구,서구,942,6,217,1002,94
대구,남구,643,3,134,705,59
대구,북구,1875,15,505,1918,238
대구,수성구,2005,8,457,2178,256
대구,달서구,2558,15,619,2775,141
대구,달성군,837,10,248,915,39
인천,중구,462,11,111,535,21
인천,동구,113,0,33,123,2
인천,미추홀구,1250,15,240,1331,99
인천,부평구,1239,13,237,1243,81
인천,남동구,1563,15,316,1812,103
인천,서구,1587,16,315,1853,38
인천,연수구,644,5,158,694,18
인천,계양구,613,7,105,738,13
인천,강화군,198,10,68,199,6
인천,옹진군,26,3,9,31,1
광주,동구,571,6,100,688,43
광주,서구,1700,11,245,2251,118
광주,북구,2113,18,290,2759,152
광주,광산구,2077,20,334,2701,129
광주,남구,661,3,119,772,21
대전,동구,947,14,216,1134,19
대전,중구,1024,5,221,1217,31
대전,서구,2302,9,470,2717,52
대전,유성구,1645,13,336,2031,105
대전,대덕구,923,10,190,1056,55
울산,중구,603,4,181,649,50
울산,남구,1094,5,336,997,90
울산,동구,501,2,181,410,31
울산,북구,802,10,244,910,93
울산,울주군,660,11,239,647,119
세종,세종시,932,17,234,744,352
