index,name,category,address,phone,menu_count,menu_photos_count,review_count
1,중화요리 팔공,중식당,서울 관악구 남부순환로 1680,0507-1307-9815,25,0,20
2,리옌 본점,중식당,서울 관악구 시흥대로 552 석천빌딩 2층,0507-1370-0810,30,0,20
3,만 성 찬 팅,중식당,서울 관악구 신림로 322-4 외 1필지 1층,02-883-1978,21,0,20
4,친향중식당,중식당,서울 관악구 신림로 133 1층,02-878-7942,18,0,20
5,이라운지 서울대점,중식당,서울 관악구 관악로 1 서울대학교 관악캠퍼스 310동,0507-1384-7761,15,0,9
